value,column,description
bojlery,dozwolone_powierzchnie,"Zbiorniki do podgrzewania wody, narażone na osadzanie się kamienia kotłowego i korozję. Do ich czyszczenia dobiera się preparaty odkamieniające zgodne z materiałem zbiornika i instalacji."
brodziki,dozwolone_powierzchnie,"Dolne elementy kabin prysznicowych z akrylu, ceramiki, konglomeratu lub emalii, zbierające wodę, osady i zabrudzenia z ciała. Wymagają regularnego czyszczenia bez agresywnego szorowania, szczególnie przy powierzchniach antypoślizgowych."
burty naczep,dozwolone_powierzchnie,"Boczne elementy naczep transportowych, najczęściej z aluminium, stali lakierowanej lub tworzyw. Są narażone na brud drogowy i osady eksploatacyjne, dlatego środek powinien być skuteczny, a jednocześnie bezpieczny dla powłok i oznakowania."
centra logistyczne,dozwolone_powierzchnie,"Duże obiekty magazynowe z posadzkami przemysłowymi i intensywnym ruchem wózków. Środki czyszczące muszą radzić sobie z pyłem, śladami kół i zabrudzeniami eksploatacyjnymi, często w systemach maszynowego mycia."
ceramika,dozwolone_powierzchnie,"Twardy materiał stosowany w płytkach, umywalkach, toaletach i naczyniach, zwykle odporny na wodę i wiele środków myjących. Uwagę trzeba zwrócić na fugi, połysk i ewentualne szkliwienie, które mogą być wrażliwe na silne preparaty lub ścieranie."
ceramika sanitarna,dozwolone_powierzchnie,"Powierzchnie z porcelany lub ceramiki szkliwionej, takie jak umywalki, miski WC, bidety i pisuary. Są odporne na wiele środków, ale wymagają preparatów skutecznych na kamień i osady mydlane, bez rysowania szkliwa."
ciepłe powierzchnie,dozwolone_powierzchnie,"Powierzchnie o podwyższonej temperaturze, np. płyty grzewcze, piece lub urządzenia gastronomiczne po pracy. Wymagają produktów dopuszczonych do takiej aplikacji, ponieważ niektóre środki mogą zbyt szybko odparować, dymić lub zwiększać ryzyko oparzeń."
ciężarówki,dozwolone_powierzchnie,"Pojazdy użytkowe narażone na intensywne zabrudzenia drogowe, oleje, smary i osady atmosferyczne. Do ich mycia stosuje się środki skuteczne na duże powierzchnie, ale bezpieczne dla lakieru, aluminium, gumy i elementów plastikowych."
cysterny,dozwolone_powierzchnie,"Zbiorniki transportowe do przewozu cieczy, proszków lub produktów spożywczych i chemicznych. Czyszczenie musi usuwać pozostałości ładunku z wnętrza i armatury, z zachowaniem zgodności materiałowej oraz wymagań higienicznych."
czajniki,dozwolone_powierzchnie,"Urządzenia do podgrzewania wody, najczęściej ze stali nierdzewnej, szkła lub tworzywa, narażone na osad z kamienia. Do czyszczenia stosuje się głównie odkamieniacze, które muszą być dokładnie wypłukane przed ponownym użyciem."
czyste elementy,dozwolone_powierzchnie,"Elementy po wstępnym umyciu lub bez widocznych zabrudzeń, które mogą wymagać odtłuszczenia, dezynfekcji albo zabezpieczenia. Stosuje się na nich łagodniejsze preparaty, aby nie pozostawić osadów i nie pogorszyć jakości powierzchni."
części maszyn,dozwolone_powierzchnie,"Elementy maszyn, takie jak obudowy, wały, koła zębate, osłony czy elementy robocze. Przy czyszczeniu ważne jest usunięcie smarów i osadów bez pogorszenia pasowania, ochrony antykorozyjnej lub działania mechanizmu."
części metalowe,dozwolone_powierzchnie,"Różne elementy wykonane ze stali, żeliwa, aluminium lub innych metali, często zabrudzone olejem, smarem, rdzą albo pyłem. Dobór środka powinien uwzględniać rodzaj metalu i potrzebę ochrony przed korozją po czyszczeniu."
części samochodowe,dozwolone_powierzchnie,"Elementy pojazdu, takie jak felgi, silnik, układ hamulcowy, plastiki lub elementy metalowe. Środek należy dobrać do materiału i rodzaju zabrudzeń, np. smarów, pyłu hamulcowego lub oleju, aby nie uszkodzić powłok i uszczelek."
deski rozdzielcze,dozwolone_powierzchnie,"Elementy wnętrza samochodu wykonane najczęściej z tworzyw sztucznych, winylu, gumy lub materiałów miękkich. Wymagają preparatów, które czyszczą bez smug i nie pozostawiają śliskiej warstwy ograniczającej bezpieczeństwo jazdy."
drewno,dozwolone_powierzchnie,"Naturalny materiał stosowany w podłogach, meblach i elementach wykończenia, wrażliwy na nadmiar wody i silną chemię. Do czyszczenia należy stosować łagodne preparaty przeznaczone do drewna lub jego powłok ochronnych."
drewno lakierowane,dozwolone_powierzchnie,"Drewno pokryte warstwą lakieru, która chroni je przed wilgocią i zabrudzeniami. Wymaga delikatnych środków o umiarkowanej wilgotności aplikacji, aby nie zmatowić lakieru ani nie doprowadzić do pęcznienia drewna."
duże powierzchnie,dozwolone_powierzchnie,"Rozległe obszary do mycia, takie jak hale, korytarze, ściany lub posadzki w obiektach. Ważna jest wydajność środka, możliwość stosowania maszynowego i równomierne rozprowadzenie bez smug."
dystrybutory paliwa,dozwolone_powierzchnie,"Urządzenia do tankowania paliw, mające powierzchnie metalowe, lakierowane, plastikowe i gumowe, narażone na benzynę, olej napędowy oraz osady z rąk i otoczenia. Wymagają środków skutecznych na tłuste zabrudzenia, ale bezpiecznych dla oznaczeń, wyświetlaczy i uszczelek."
dywaniki,dozwolone_powierzchnie,"Mniejsze tekstylne lub gumowo-tekstylne elementy podłogowe, często mocno zabrudzone piaskiem, błotem i wilgocią. Wymagają środków skutecznych na zabrudzenia eksploatacyjne, ale bezpiecznych dla spodu dywanika i kolorów."
dywany,dozwolone_powierzchnie,"Tekstylne pokrycia podłogowe z runem, w którym zatrzymują się kurz, piasek, plamy i zapachy. Czyszczenie wymaga kontroli ilości wody i sprawdzenia odporności kolorów, aby uniknąć skurczu lub przebarwień."
ekrany lcd,dozwolone_powierzchnie,"Wyświetlacze ciekłokrystaliczne stosowane w monitorach, telewizorach i panelach sterowania, wrażliwe na nacisk i agresywne środki. Wymagają delikatnego czyszczenia bez alkoholi lub rozpuszczalników, jeśli nie są dopuszczone przez producenta."
ekrany led,dozwolone_powierzchnie,"Ekrany wykorzystujące podświetlenie lub diody LED, często z delikatną warstwą ochronną na powierzchni. Czyszczenie powinno być bezpieczne dla powłok i wykonywane bez nadmiernego zwilżania, aby nie uszkodzić elektroniki."
ekrany oled,dozwolone_powierzchnie,"Nowoczesne wyświetlacze z organicznymi diodami, bardzo cienkie i wrażliwe na nacisk oraz agresywną chemię. Wymagają delikatnych środków do ekranów i miękkiej ściereczki, bez rozpylania płynu bezpośrednio na powierzchnię."
ekspresy do kawy,dozwolone_powierzchnie,"Urządzenia z obiegami wody, elementami grzewczymi i częściami mającymi kontakt z kawą oraz mlekiem. Wymagają regularnego odkamieniania i usuwania tłuszczów kawowych środkami przeznaczonymi do ekspresów, aby zachować higienę i sprawność sprzętu."
elementy chromowane,dozwolone_powierzchnie,"Błyszczące, metalizowane powierzchnie pokryte warstwą chromu, np. baterie, uchwyty lub detale wyposażenia. Wymagają łagodnych środków bez silnych kwasów i ścierniw, aby nie zmatowić powłoki ani nie spowodować plam."
elementy gwintowane,dozwolone_powierzchnie,"Śruby, nakrętki i inne części z gwintem, w których łatwo gromadzi się smar, pył i korozja. Przy czyszczeniu ważne jest, aby preparat usuwał zabrudzenia, ale nie wypłukiwał potrzebnego smarowania ani nie powodował zapiekania gwintu."
elementy mechaniczne,dozwolone_powierzchnie,"Części maszyn i urządzeń pracujące w ruchu, np. przekładnie, prowadnice, łożyska czy dźwignie, narażone na smary i zanieczyszczenia techniczne. Czyszczenie powinno usuwać brud bez uszkadzania uszczelnień, powłok i wymaganych warstw smarnych."
elementy montażowe,dozwolone_powierzchnie,"Śruby, nakrętki, podkładki, uchwyty, obejmy i inne drobne części używane do łączenia oraz mocowania. Przy czyszczeniu ważne jest usunięcie smaru, pyłu i korozji bez osłabiania powłok ochronnych, gwintów i pasowania elementów."
elementy plastikowe,dozwolone_powierzchnie,"Części wykonane z tworzyw sztucznych, które mogą matowieć, odbarwiać się lub pękać pod wpływem zbyt agresywnej chemii. Wymagają łagodnych preparatów bez silnych rozpuszczalników, jeśli producent nie zaleca inaczej."
elewacje,dozwolone_powierzchnie,"Zewnętrzne powierzchnie budynków wykonane z tynku, betonu, cegły, kamienia, metalu lub paneli. Wymagają środków odpornych na zabrudzenia atmosferyczne, glony i sadzę, ale bez uszkadzania powłok ochronnych i koloru."
epoksyd,dozwolone_powierzchnie,"Posadzki epoksydowe to twarde, żywiczne powłoki odporne na ścieranie i chemikalia. Należy unikać środków mogących matowić lub uszkadzać warstwę ochronną, szczególnie przy częstym myciu maszynowym."
fasady,dozwolone_powierzchnie,"Zewnętrzne powierzchnie budynków wykonane np. z tynku, szkła, metalu, kamienia lub paneli. Przy czyszczeniu trzeba uwzględnić odporność materiału na chemię, warunki pogodowe i ryzyko zacieków."
felgi,dozwolone_powierzchnie,"Elementy kół wykonane najczęściej z aluminium, stali lub stopów lakierowanych, narażone na pył hamulcowy, sól i tłuste zabrudzenia. Wymagają środków skutecznych, ale bezpiecznych dla lakieru, metalu i elementów ozdobnych."
felgi aluminiowe,dozwolone_powierzchnie,"Obręcze kół z aluminium lub stopów aluminium, narażone na pył hamulcowy, sól drogową i osady metaliczne. Wymagają środków bezpiecznych dla aluminium i powłok lakierowanych, aby nie powodować przebarwień ani wżerów."
felgi lakierowane,dozwolone_powierzchnie,"Felgi pokryte warstwą lakieru ochronnego lub dekoracyjnego, podatną na zarysowania i działanie silnych chemikaliów. Do czyszczenia należy używać preparatów bezpiecznych dla lakieru, szczególnie przy usuwaniu pyłu hamulcowego."
felgi stalowe,dozwolone_powierzchnie,"Felgi wykonane ze stali, zwykle lakierowane lub zabezpieczone powłoką ochronną. Wymagają środków usuwających pył hamulcowy i brud drogowy, ale bez nadmiernego działania korozyjnego."
fermentatory,dozwolone_powierzchnie,"Zbiorniki do prowadzenia fermentacji, używane m.in. w browarnictwie, mleczarstwie i biotechnologii. Wymagają dokładnego mycia i dezynfekcji, ponieważ pozostałości organiczne sprzyjają rozwojowi mikroorganizmów."
filtry dpf,dozwolone_powierzchnie,"Filtry cząstek stałych w silnikach diesla, zatrzymujące sadzę i popiół w strukturze ceramicznej. Wymagają specjalistycznych środków czyszczących, które rozpuszczają osady bez uszkadzania wkładu filtra i czujników."
filtry fap,dozwolone_powierzchnie,"Filtry cząstek stałych stosowane głównie w pojazdach francuskich, pracujące z dodatkiem obniżającym temperaturę wypalania sadzy. Do czyszczenia potrzebne są preparaty przeznaczone do wkładów ceramicznych, aby nie zatkać kanałów i nie uszkodzić filtra."
filtry spalin,dozwolone_powierzchnie,"Elementy układu wydechowego zatrzymujące sadzę i zanieczyszczenia ze spalin, często narażone na olej, nagar i wysoką temperaturę. Przy czyszczeniu wymagają środków dobranych tak, aby nie uszkodzić wkładu filtrującego ani powłok ochronnych."
folie zabezpieczające,dozwolone_powierzchnie,"Cienkie warstwy ochronne naklejane na powierzchnie, np. meble, szyby, ekrany lub elementy lakierowane. Przy czyszczeniu wymagają delikatnych preparatów, które nie odkleją folii, nie zmatowią jej i nie uszkodzą kleju."
fronty szafek,dozwolone_powierzchnie,"Widoczne powierzchnie mebli kuchennych, biurowych lub socjalnych, wykonane z laminatu, lakieru, drewna albo tworzyw. Są narażone na tłuste ślady i dotyk, dlatego wymagają preparatów skutecznych, ale bezpiecznych dla wykończenia."
fugi,dozwolone_powierzchnie,"Spoiny między płytkami, zwykle cementowe lub epoksydowe, łatwo chłonące brud, wilgoć i przebarwienia. Wymagają dokładnego czyszczenia, a przy silnych środkach sprawdzenia odporności, aby nie wypłukać lub nie odbarwić spoiny."
garaże,dozwolone_powierzchnie,"Powierzchnie garażowe, zwykle betonowe, żywiczne lub płytkowane, narażone na smary, oleje, sól i brud z opon. Czyszczenie powinno usuwać zabrudzenia techniczne, ale nie powodować śliskości ani uszkodzeń posadzki."
garderoby,dozwolone_powierzchnie,"Pomieszczenia lub zabudowy do przechowywania ubrań, butów i akcesoriów. Czyszczenie powinno ograniczać kurz, zapachy i wilgoć, aby nie przenosiły się na tekstylia."
garnki,dozwolone_powierzchnie,"Naczynia kuchenne narażone na przypalenia, tłuszcz, kamień i osady z gotowania. Wymagają środków dobranych do materiału, np. stali, aluminium lub powłok nieprzywierających, aby nie spowodować zarysowań ani korozji."
glazura,dozwolone_powierzchnie,"Szkliwione płytki ceramiczne stosowane na ścianach i czasem podłogach, odporne na wilgoć, ale z fugami podatnymi na zabrudzenia. Do czyszczenia warto dobierać środki usuwające osady bez matowienia powierzchni i niszczenia spoin."
gofrownice,dozwolone_powierzchnie,"Gofrownice mają płyty grzewcze, często z powłoką nieprzywierającą, narażone na przypalony tłuszcz i resztki ciasta. Czyszczenie wymaga preparatów bezpiecznych dla powierzchni mających kontakt z żywnością i bez agresywnego szorowania."
granit,dozwolone_powierzchnie,"Twardy kamień naturalny stosowany na posadzki, blaty i schody, odporny mechanicznie, ale zależny od impregnacji i wykończenia. Do czyszczenia najlepiej stosować środki przeznaczone do kamienia, aby nie pozostawiać smug i nie osłabiać ochrony powierzchni."
gres,dozwolone_powierzchnie,"Bardzo twarde, nisko nasiąkliwe płytki ceramiczne stosowane na podłogach i ścianach. Powierzchnie matowe lub strukturalne mogą zatrzymywać brud, dlatego wymagają skutecznego doczyszczania bez smug."
grille,dozwolone_powierzchnie,"Ruszt, płyty i obudowy urządzeń grillowych narażone na przypalony tłuszcz, sadzę i zwęglone resztki jedzenia. Wymagają silnych środków odtłuszczających, ale należy uważać na powłoki ochronne i elementy aluminiowe."
guma,dozwolone_powierzchnie,"Elastyczny materiał stosowany w uszczelkach, oponach, matach i elementach technicznych. Wymaga preparatów, które nie powodują pękania, puchnięcia ani utraty elastyczności."
gładkie powierzchnie,dozwolone_powierzchnie,"Nieporowate powierzchnie, takie jak szkło, stal, laminaty czy płytki, z których zabrudzenia zwykle łatwo się usuwa. Wymagają preparatów niepozostawiających smug i odpowiedniej ściereczki, aby zachować czysty wygląd."
hale produkcyjne,dozwolone_powierzchnie,"Duże przestrzenie przemysłowe z posadzkami, maszynami i strefami roboczymi narażonymi na pył, oleje i zabrudzenia technologiczne. Środki do takich miejsc powinny być skuteczne, bezpieczne dla powierzchni i dostosowane do częstego użycia."
hamulce,dozwolone_powierzchnie,"Elementy układu hamulcowego, takie jak tarcze, bębny, zaciski i okładziny, zabrudzone pyłem, smarem lub płynami eksploatacyjnymi. Wymagają szybko odparowujących preparatów odtłuszczających, które nie zostawiają filmu i nie pogarszają skuteczności hamowania."
homogenizatory,dozwolone_powierzchnie,"Urządzenia procesowe służące do rozdrabniania i ujednolicania mieszanin, np. w przemyśle spożywczym lub kosmetycznym. Czyszczenie musi usuwać osady produktowe z elementów mających kontakt z produktem i nie pozostawiać pozostałości chemii."
instalacje,dozwolone_powierzchnie,"Rurociągi, przewody, zbiorniki i inne elementy systemów technologicznych lub sanitarnych. Dobór środka zależy od materiału instalacji i rodzaju osadów, aby zapewnić skuteczne czyszczenie bez korozji."
kabiny prysznicowe,dozwolone_powierzchnie,"Powierzchnie ze szkła, tworzywa, płytek i profili, narażone na kamień, osad z mydła i zacieki. Wymagają preparatów odkamieniających lub antyosadowych, bezpiecznych dla uszczelek i powłok."
kamień,dozwolone_powierzchnie,"Naturalny lub sztuczny materiał, np. granit, marmur, piaskowiec czy konglomerat, stosowany na blatach, podłogach i elewacjach. Wymaga ostrożności, bo niektóre kamienie są wrażliwe na kwasy i mogą matowieć lub odbarwiać się."
kamień naturalny,dozwolone_powierzchnie,"Materiały takie jak marmur, granit, trawertyn czy łupek, często porowate i wrażliwe na kwasy. Wymagają środków o odpowiednim pH, ponieważ preparaty odkamieniające lub kwaśne mogą trwale zmatowić albo wytrawić powierzchnię."
kamień sztuczny,dozwolone_powierzchnie,"Materiał kompozytowy imitujący kamień, stosowany m.in. na blatach, parapetach i okładzinach. Wymaga środków, które nie matowią powierzchni i nie uszkadzają żywic lub spoiw."
kanały wentylacyjne,dozwolone_powierzchnie,"Przewody doprowadzające lub odprowadzające powietrze w budynkach i urządzeniach. Wymagają środków, które pomagają usuwać kurz, zapachy i zanieczyszczenia mikrobiologiczne bez pozostawiania szkodliwych osadów w obiegu powietrza."
karoseria,dozwolone_powierzchnie,"Zewnętrzne elementy nadwozia pojazdu, zwykle pokryte lakierem i warstwami ochronnymi. Mycie powinno usuwać brud drogowy bez rysowania powierzchni i bez naruszania powłok zabezpieczających."
kauczuk,dozwolone_powierzchnie,"Powierzchnie kauczukowe, np. podłogi lub elementy antypoślizgowe, są elastyczne i podatne na przebarwienia po silnych chemikaliach. Wymagają preparatów bez agresywnych rozpuszczalników i nadmiaru alkaliów."
klamki,dozwolone_powierzchnie,"Często dotykane elementy z metalu, tworzywa lub powłok lakierowanych. W higienie ważne jest regularne czyszczenie i dezynfekcja, przy jednoczesnym unikaniu środków powodujących korozję lub odbarwienia."
klatki schodowe,dozwolone_powierzchnie,"Ciągi komunikacyjne z posadzkami z płytek, lastryka, betonu lub kamienia są intensywnie użytkowane i szybko się brudzą. Środki do takich powierzchni powinny usuwać ślady obuwia i zapewniać brak śliskości po myciu."
klimatyzacja samochodowa,dozwolone_powierzchnie,"Układ chłodzenia i obiegu powietrza w pojeździe, obejmujący parownik, przewody i kratki nawiewu. Czyszczenie ma usuwać zapachy i ograniczać rozwój drobnoustrojów, ale środek musi być bezpieczny dla elementów instalacji i wnętrza auta."
klinkier,dozwolone_powierzchnie,"Wypalana ceramika o dużej twardości, stosowana na elewacjach, posadzkach i schodach, często o lekko porowatej powierzchni. Przy czyszczeniu trzeba uważać na wykwity, fugi i środki kwasowe lub zasadowe dobrane do rodzaju zabrudzenia."
kokpit,dozwolone_powierzchnie,"Wewnętrzny panel pojazdu wykonany zwykle z tworzyw sztucznych, winylu, gumy i elementów lakierowanych. Do czyszczenia potrzebne są środki niepozostawiające śliskiej warstwy ani smug, aby zachować estetykę i bezpieczeństwo użytkowania."
kominki,dozwolone_powierzchnie,"Elementy kominka, takie jak szyba, obudowa i palenisko, zabrudzone sadzą, popiołem oraz osadami po spalaniu. Przy czyszczeniu ważne jest użycie preparatów odpornych na zabrudzenia smoliste i bezpiecznych dla kamienia, metalu lub szkła."
komory silnika,dozwolone_powierzchnie,"Przestrzenie pod maską pojazdu z elementami metalowymi, plastikowymi, gumowymi i elektrycznymi, narażone na olej, kurz i osady drogowe. Wymagają preparatów odtłuszczających stosowanych ostrożnie, aby nie zalać elektroniki ani nie uszkodzić przewodów i uszczelek."
komórki,dozwolone_powierzchnie,"Małe pomieszczenia gospodarcze zwykle mają twarde posadzki i ściany narażone na kurz, błoto oraz zabrudzenia magazynowe. Wymagają środków uniwersalnych, bezpiecznych dla różnych materiałów i skutecznych przy okresowym sprzątaniu."
kontakt z żywnością,dozwolone_powierzchnie,"Powierzchnie, które mają bezpośredni lub pośredni kontakt z jedzeniem, np. blaty, stoły robocze, naczynia czy sprzęt kuchenny. Środki stosowane w takich miejscach muszą być dopuszczone do tego zastosowania i zwykle wymagają dokładnego spłukania wodą pitną."
kontenery,dozwolone_powierzchnie,"Metalowe lub kompozytowe pojemniki transportowe i magazynowe, narażone na kurz, oleje, osady drogowe i zabrudzenia atmosferyczne. W czyszczeniu trzeba uwzględnić powłoki lakiernicze, uszczelki oraz ewentualny kontakt z przewożonym towarem."
kostka brukowa,dozwolone_powierzchnie,"Zewnętrzna nawierzchnia z betonu lub kamienia, narażona na błoto, glony, mech, oleje i osady atmosferyczne. Wymaga środków przeznaczonych do porowatych powierzchni oraz ostrożności, aby nie odbarwić ani nie wypłukać spoin."
kotły,dozwolone_powierzchnie,"Urządzenia grzewcze lub technologiczne, w których mogą gromadzić się kamień, osady mineralne, sadza lub tłuste zabrudzenia. Wymagają czyszczenia środkami dobranymi do metalu i rodzaju osadu, aby nie uszkodzić powierzchni roboczych."
ksylolit,dozwolone_powierzchnie,"Mineralno-organiczna posadzka na bazie magnezytu i wypełniaczy, spotykana w starszych budynkach. Jest wrażliwa na nadmiar wody i silną chemię, dlatego wymaga delikatnego czyszczenia oraz kontroli wilgotności."
kuchenki,dozwolone_powierzchnie,"Płyty grzewcze, palniki i okolice gotowania, narażone na tłuszcz, wykipienia i przypalenia. Środek należy dobrać do typu powierzchni, np. stali, emalii, szkła ceramicznego lub indukcji."
lakier samochodowy,dozwolone_powierzchnie,"Warstwa wykończeniowa na karoserii, odpowiadająca za wygląd i ochronę metalu przed korozją. Wymaga preparatów bezpiecznych dla lakieru, ponieważ silne zasady, kwasy lub materiały ścierne mogą powodować matowienie i mikrorysy."
laminat,dozwolone_powierzchnie,"Warstwowy materiał wykończeniowy używany na blatach, frontach mebli, panelach i podłogach. Jest odporny użytkowo, ale może źle reagować na nadmiar wilgoci na krawędziach i zbyt agresywne środki."
lampy,dozwolone_powierzchnie,"Elementy oświetleniowe wykonane z tworzyw, szkła, metalu lub powłok lakierowanych. Przy czyszczeniu ważne jest unikanie nadmiaru wilgoci i agresywnych środków, które mogą uszkodzić klosze, oprawy lub elementy elektryczne."
lastryko,dozwolone_powierzchnie,"Posadzka z mieszanki cementu lub żywicy z kruszywem kamiennym, spotykana w korytarzach i obiektach publicznych. Wymaga środków dobranych do rodzaju spoiwa, aby nie zmatowić powierzchni ani nie wypłukać wypełnienia."
linie technologiczne,dozwolone_powierzchnie,"Zespół urządzeń, taśm, przewodów i stanowisk tworzących ciąg produkcyjny. Czyszczenie musi być skuteczne, powtarzalne i bezpieczne dla różnych materiałów, aby ograniczyć ryzyko zanieczyszczeń w produkcji."
linoleum,dozwolone_powierzchnie,"Naturalna wykładzina podłogowa z oleju lnianego, mączki drzewnej i żywic, wrażliwa na silne alkalia i nadmiar wilgoci. Wymaga łagodnych środków oraz pielęgnacji chroniącej powierzchnię przed matowieniem i odbarwieniami."
listwy,dozwolone_powierzchnie,"Wąskie elementy wykończeniowe z plastiku, metalu, gumy lub lakieru, stosowane m.in. w pojazdach i wnętrzach. Warto używać środków bezpiecznych dla różnych materiałów, ponieważ listwy łatwo matowieją lub odbarwiają się."
listwy zewnętrzne,dozwolone_powierzchnie,"Zewnętrzne elementy wykończeniowe pojazdów lub budynków, zwykle z plastiku, gumy, metalu albo lakieru. Są narażone na promieniowanie UV, sól i brud, dlatego wymagają środków niepowodujących matowienia ani pękania materiału."
lodówki,dozwolone_powierzchnie,"Lodówki mają powierzchnie z tworzyw, szkła, stali i gumowych uszczelek, mające kontakt z żywnością. Do czyszczenia potrzebne są preparaty bezpieczne dla stref spożywczych, dobrze usuwające zapachy i osady."
lusterka,dozwolone_powierzchnie,"Szklane powierzchnie z warstwą odbijającą, stosowane m.in. w pojazdach i sanitariatach. Wymagają środków niepozostawiających smug i bezpiecznych dla powłoki lustrzanej oraz obramowań."
lusterka samochodowe,dozwolone_powierzchnie,"Szkło luster oraz ich obudowy, często z powłokami przeciwodblaskowymi lub podgrzewaniem. Wymagają środków niepozostawiających smug i bezpiecznych dla szkła, plastiku oraz uszczelek."
lustra,dozwolone_powierzchnie,"Powierzchnie szklane z warstwą odbijającą, stosowane w łazienkach, obiektach usługowych i pomieszczeniach higienicznych. Należy unikać nadmiaru wilgoci i agresywnych środków na krawędziach, bo mogą uszkodzić warstwę lustrzaną."
marmur,dozwolone_powierzchnie,"Marmur to naturalny kamień wapienny o eleganckiej, ale wrażliwej powierzchni. Nie powinien być czyszczony preparatami kwaśnymi, ponieważ mogą powodować wytrawienia i utratę połysku."
maszyny,dozwolone_powierzchnie,"Powierzchnie maszyn produkcyjnych lub sprzątających mają elementy metalowe, lakierowane, gumowe i elektroniczne. Wymagają środków dobranych tak, aby usuwać smary i zabrudzenia bez korozji, odbarwień ani uszkodzenia ruchomych części."
maszyny budowlane,dozwolone_powierzchnie,"Sprzęt pracujący w trudnych warunkach, zabrudzony błotem, pyłem cementowym, smarami i olejami. Preparaty powinny mocno odtłuszczać, ale nie uszkadzać lakieru, przewodów, uszczelek i elementów hydraulicznych."
maszyny produkcyjne,dozwolone_powierzchnie,"Urządzenia używane w procesach przemysłowych, zabrudzone olejami, smarami, pyłem lub resztkami surowców. Preparat powinien czyścić skutecznie, nie powodując korozji, uszkodzeń uszczelek ani problemów z elementami elektrycznymi."
maszyny rolnicze,dozwolone_powierzchnie,"Urządzenia i pojazdy narażone na ziemię, resztki roślin, nawozy, oleje i smary. Czyszczenie pomaga ograniczyć korozję i przenoszenie zanieczyszczeń, dlatego środek powinien być skuteczny, ale bezpieczny dla lakieru, gumy i metalu."
meble,dozwolone_powierzchnie,"Powierzchnie użytkowe z drewna, laminatu, metalu, tworzyw lub materiałów lakierowanych. Wymagają ostrożnego doboru środka, aby nie uszkodzić powłoki, nie zostawić smug ani nie spowodować odbarwień."
meble ogrodowe,dozwolone_powierzchnie,"Wyposażenie z plastiku, metalu, drewna lub technorattanu narażone na kurz, deszcz, glony i promieniowanie UV. Środek powinien być dobrany do materiału, aby nie odbarwiać powierzchni ani nie osłabiać powłok ochronnych."
