value,column,description
stal nierdzewna,dozwolone_powierzchnie,"Odporna na korozję stal stosowana w kuchniach, sanitariatach i przemyśle, ceniona za higieniczność. Wymaga środków, które usuwają tłuszcz i osady bez pozostawiania zacieków oraz bez uszkadzania warstwy ochronnej metalu."
glazura,dozwolone_powierzchnie,"Szkliwione płytki ceramiczne stosowane na ścianach i podłogach, szczególnie w kuchniach i łazienkach. Są odporne na wilgoć, ale fugi mogą chłonąć brud i wymagają dokładniejszego czyszczenia."
powierzchnie ponadpodłogowe,dozwolone_powierzchnie,"Elementy znajdujące się powyżej poziomu podłogi, np. blaty, stoły, parapety, drzwi, regały i obudowy urządzeń. Wymagają preparatów wygodnych do przecierania ręcznego, często bez nadmiernego pienienia i kapania."
podłogi,dozwolone_powierzchnie,"Powierzchnie użytkowe narażone na kurz, błoto, tłuszcz i intensywny ruch pieszy. Dobór środka zależy od rodzaju posadzki oraz potrzeby mycia ręcznego, maszynowego lub utrzymania właściwości antypoślizgowych."
ściany,dozwolone_powierzchnie,"Powierzchnie pionowe wykonane z farby, płytek, paneli lub innych okładzin, narażone na kurz, odciski dłoni i zachlapania. Przy czyszczeniu ważne jest, aby preparat nie spływał nadmiernie i nie powodował odbarwień."
naczynia,dozwolone_powierzchnie,"Przedmioty mające bezpośredni kontakt z żywnością, takie jak talerze, miski, kubki i sztućce. Wymagają środków skutecznie usuwających tłuszcz i resztki jedzenia oraz bezpiecznych po dokładnym spłukaniu."
garnki,dozwolone_powierzchnie,"Naczynia kuchenne narażone na tłuszcz, przypalenia, osady mineralne i resztki potraw. Do ich czyszczenia dobiera się środki odpowiednie do materiału, np. stali nierdzewnej, aluminium lub powłok nieprzywierających."
blachy,dozwolone_powierzchnie,"Płaskie elementy kuchenne lub piekarnicze, często zabrudzone tłuszczem, przypieczeniami i resztkami ciasta lub potraw. Wymagają preparatów odtłuszczających, które nie uszkodzą powierzchni użytkowej."
narzędzia,dozwolone_powierzchnie,"Sprzęt używany podczas pracy, produkcji, sprzątania lub przygotowania żywności, który może gromadzić brud i mikroorganizmy. Czyszczenie powinno być dopasowane do materiału narzędzi oraz wymagań higienicznych stanowiska."
odzież robocza,dozwolone_powierzchnie,"Tekstylia używane podczas pracy, narażone na pot, zabrudzenia technologiczne, tłuszcz, kurz lub kontakt z preparatami chemicznymi. Wymagają prania środkami skutecznymi dla danego typu zabrudzeń i bezpiecznymi dla tkaniny oraz użytkownika."
powierzchnie kuchenne,dozwolone_powierzchnie,"Blaty, fronty, okładziny i inne miejsca robocze w kuchni, które mają częsty kontakt z tłuszczem, wodą i resztkami żywności. Wymagają środków skutecznych, ale bezpiecznych dla materiału oraz łatwych do spłukania z powierzchni mających kontakt z jedzeniem."
urządzenia kuchenne,dozwolone_powierzchnie,"Elementy wyposażenia kuchni, takie jak miksery, krajalnice, ekspresy, bemary czy zmywarki, wykonane zwykle ze stali nierdzewnej, tworzyw lub szkła. Przy czyszczeniu ważne jest unikanie zalania części elektrycznych i stosowanie preparatów odpowiednich do powierzchni kontaktujących się z żywnością."
akcesoria kuchenne,dozwolone_powierzchnie,"Drobne wyposażenie kuchni, np. deski, pojemniki, narzędzia i przybory, które mogą mieć kontakt z żywnością. Wymagają dokładnego mycia, odtłuszczania i spłukiwania, aby nie pozostawiać zapachu ani pozostałości detergentu."
stoły,dozwolone_powierzchnie,"Powierzchnie robocze lub konsumpcyjne wykonane z laminatu, stali, drewna, tworzywa albo kamienia. Należy dobrać środek do materiału, aby skutecznie usunąć zabrudzenia bez matowienia, odbarwień lub uszkodzenia powłoki."
zatłuszczone powierzchnie,dozwolone_powierzchnie,"Miejsca pokryte tłuszczem spożywczym, olejem lub przypalonym osadem, typowe dla kuchni i zaplecza gastronomicznego. Wymagają preparatów odtłuszczających, często alkalicznych, oraz odpowiedniego czasu działania przed spłukaniem."
grille,dozwolone_powierzchnie,"Ruszt, płyty i elementy grzewcze narażone na przypalony tłuszcz, zwęglone resztki i dymny osad. Do czyszczenia zwykle potrzebne są silne odtłuszczacze, ale należy uważać na aluminium, powłoki nieprzywierające i elementy wrażliwe na żrące środki."
piekarniki,dozwolone_powierzchnie,"Komory grzewcze i blachy, na których osadza się przypalony tłuszcz oraz resztki jedzenia. Wymagają preparatów do wysokich zabrudzeń, stosowanych zgodnie z instrukcją i dokładnie usuwanych przed ponownym użyciem urządzenia."
piece,dozwolone_powierzchnie,"Urządzenia grzewcze lub gastronomiczne, których powierzchnie mogą być zabrudzone sadzą, tłuszczem, osadem mineralnym albo przypaleniami. Czyszczenie wymaga dopasowania środka do typu pieca i materiału, szczególnie przy stali, emalii, szamocie lub szybie."
urządzenia do kebabów,dozwolone_powierzchnie,"Opiekacze, noże, tacki i osłony używane przy przygotowaniu mięsa kebab, narażone na intensywne osady tłuszczu i białka. Wymagają skutecznego odtłuszczania oraz preparatów bezpiecznych dla stali nierdzewnej i powierzchni mających kontakt z żywnością."
szyby kominkowe,dozwolone_powierzchnie,"Szkło żaroodporne w drzwiach kominka, na którym osadzają się sadza, smoła i dymny nalot. Wymaga środków usuwających osady spalinowe, stosowanych ostrożnie, aby nie uszkodzić uszczelek, ramek ani powłok dekoracyjnych."
patelnie,dozwolone_powierzchnie,"Naczynia kuchenne z metalu, emalii, stali, aluminium lub z powłoką nieprzywierającą, narażone na tłuszcz i przypalenia. Dobór środka jest ważny, ponieważ zbyt silne detergenty lub szorowanie mogą zniszczyć powłokę albo odbarwić aluminium."
kuchenki,dozwolone_powierzchnie,"Płyty grzewcze, palniki, ruszty i obudowy kuchenek gazowych, elektrycznych lub indukcyjnych. Wymagają usuwania tłuszczu i przypaleń bez zalewania elementów sterujących oraz z uwzględnieniem delikatnych powierzchni szklanych lub emaliowanych."
kominki,dozwolone_powierzchnie,"Wkłady, obudowy i elementy kominkowe narażone na sadzę, popiół, pył i osady po spalaniu drewna. Czyszczenie wymaga preparatów odpowiednich do szkła, metalu, kamienia lub ceramiki oraz unikania środków mogących odbarwić obudowę."
kostka brukowa,dozwolone_powierzchnie,"Zewnętrzna nawierzchnia betonowa lub kamienna, narażona na błoto, mech, oleje, wykwity i zabrudzenia atmosferyczne. Wymaga preparatów dobranych do porowatej struktury, aby skutecznie czyścić bez wypłukiwania koloru i uszkadzania impregnacji."
beton,dozwolone_powierzchnie,"Porowaty materiał mineralny stosowany na posadzkach, tarasach i podjazdach, łatwo chłonący oleje, brud i wilgoć. Przy czyszczeniu ważne jest dobranie środka do rodzaju zabrudzenia oraz ostrożność z kwasami, które mogą naruszać powierzchnię."
kamień,dozwolone_powierzchnie,"Naturalny lub sztuczny materiał, taki jak granit, marmur, piaskowiec czy konglomerat, używany na blatach, posadzkach i elewacjach. Wymaga szczególnej uwagi, bo niektóre kamienie, zwłaszcza wapienne, mogą matowieć lub reagować z kwaśnymi środkami."
powierzchnie zewnętrzne,dozwolone_powierzchnie,"Nawierzchnie i elementy na zewnątrz budynków, np. tarasy, elewacje, schody, podjazdy i meble ogrodowe. Są narażone na warunki pogodowe, glony, kurz i osady, dlatego potrzebują środków odpornych na silne zabrudzenia i bezpiecznych dla danego materiału."
ceramika,dozwolone_powierzchnie,"Twardy materiał wypalany, spotykany w płytkach, zlewach, armaturze sanitarnej i naczyniach, zwykle odporny na wodę i detergenty. Przy czyszczeniu należy uważać na fugi, szkliwo i dekoracyjne powłoki, które mogą zmatowieć od zbyt agresywnych środków lub szorowania."
aluminium,dozwolone_powierzchnie,"Lekki metal stosowany w sprzęcie kuchennym, okapach, ramach i elementach urządzeń, wrażliwy na silne zasady i niektóre kwasy. Wymaga łagodniejszych preparatów, aby uniknąć ciemnienia, plam, korozji lub zmatowienia powierzchni."
naczynia emaliowane,dozwolone_powierzchnie,"Garnki, blachy i inne naczynia metalowe pokryte szklistą warstwą emalii, która chroni przed korozją i ułatwia mycie. Należy unikać silnego szorowania i nagłych uderzeń, bo odpryski emalii mogą odsłonić metal i skrócić trwałość naczynia."
naczynia stalowe,dozwolone_powierzchnie,"Garnki, pojemniki i akcesoria wykonane ze stali, często używane w kuchniach profesjonalnych. Wymagają środków, które usuwają tłuszcz i osady, ale nie powodują korozji ani matowienia powierzchni."
naczynia aluminiowe,dozwolone_powierzchnie,"Naczynia z aluminium, lekkiego metalu wrażliwego na silne zasady i niektóre kwasy. Do ich mycia należy dobierać preparaty bezpieczne dla aluminium, aby uniknąć ciemnienia, plam lub uszkodzenia powierzchni."
zmywalne powierzchnie,dozwolone_powierzchnie,"Powierzchnie odporne na kontakt z wodą i detergentem, np. płytki, laminaty, tworzywa lub lakierowane elementy. Przy czyszczeniu ważne jest dobranie środka, który nie pozostawia smug i nie narusza powłoki ochronnej."
sufity,dozwolone_powierzchnie,"Górne powierzchnie pomieszczeń, często malowane, kasetonowe lub wykonane z paneli. Wymagają ostrożnego mycia, aby nie spowodować zacieków, odbarwień ani odspajania powłok."
powierzchnie błyszczące,dozwolone_powierzchnie,"Gładkie, polerowane lub lakierowane powierzchnie odbijające światło, np. fronty, stal nierdzewna czy szkło. Potrzebują preparatów, które czyszczą bez smug, zarysowań i matowienia."
powierzchnie szkliste,dozwolone_powierzchnie,"Powierzchnie o charakterze szkła lub szkliwa, takie jak szyby, lustra, glazura czy ceramika szkliwiona. Są podatne na smugi i osady mineralne, dlatego wymagają środków dobrze odparowujących i bezpiecznych dla połysku."
łazienki,dozwolone_powierzchnie,"Pomieszczenia narażone na wilgoć, osady z mydła, kamień wodny i zabrudzenia higieniczne. Środki do łazienek powinny skutecznie usuwać kamień i zabrudzenia, a jednocześnie być bezpieczne dla ceramiki, armatury i fug."
toalety,dozwolone_powierzchnie,"Obszary sanitarne obejmujące muszle WC, deski, spłuczki i otoczenie toalety. Wymagają regularnego czyszczenia i dezynfekcji ze względu na ryzyko namnażania drobnoustrojów oraz powstawania osadów."
powierzchnie sanitarne,dozwolone_powierzchnie,"Powierzchnie w strefach higienicznych, np. ceramika łazienkowa, armatura, płytki i elementy WC. Wymagają środków usuwających kamień, osady organiczne i zabrudzenia, często także działania dezynfekującego."
kabiny prysznicowe,dozwolone_powierzchnie,"Przeszklenia, profile, uszczelki i brodziki narażone na kamień, mydło oraz wilgoć. Do czyszczenia potrzebne są preparaty usuwające osady bez matowienia szkła, uszkadzania chromu i niszczenia uszczelek."
wanny,dozwolone_powierzchnie,"Powierzchnie kąpielowe wykonane najczęściej z akrylu, emalii, stali lub kompozytu. Wymagają środków, które usuwają osady z mydła i kamień, ale nie rysują ani nie odbarwiają powłoki."
brodziki,dozwolone_powierzchnie,"Dolne elementy kabin prysznicowych wykonane z akrylu, ceramiki, stali emaliowanej lub konglomeratu. Są narażone na osady z wody i kosmetyków, dlatego należy stosować środki bezpieczne dla materiału i antypoślizgowych struktur."
umywalki,dozwolone_powierzchnie,"Ceramiczne, szklane, metalowe lub kompozytowe powierzchnie do mycia rąk. Wymagają regularnego usuwania kamienia, mydła i zabrudzeń, bez uszkadzania połysku ani powłok ochronnych."
pisuary,dozwolone_powierzchnie,"Urządzenia sanitarne w toaletach, narażone na kamień moczowy, nieprzyjemne zapachy i osady biologiczne. Do ich czyszczenia stosuje się preparaty odkamieniające i higieniczne, bezpieczne dla ceramiki oraz instalacji."
armatura,dozwolone_powierzchnie,"Baterie, krany, słuchawki prysznicowe i inne elementy metalowe, zwykle chromowane lub ze stali nierdzewnej. Wymagają środków usuwających kamień i osady, które nie zarysują ani nie uszkodzą powłoki dekoracyjnej."
fugi,dozwolone_powierzchnie,"Spoiny między płytkami, najczęściej cementowe lub epoksydowe, o porowatej strukturze. Łatwo gromadzą brud, pleśń i osady, dlatego wymagają skutecznego czyszczenia bez wypłukiwania lub przebarwiania materiału."
samochody,dozwolone_powierzchnie,"Pojazdy obejmujące różne materiały, takie jak lakier, szkło, tworzywa, metal, tapicerka i guma. Środki czyszczące muszą być dobrane do danej części auta, aby nie uszkodzić lakieru, powłok ochronnych ani elementów wnętrza."
zewnętrzne powierzchnie pojazdów,dozwolone_powierzchnie,"Elementy zewnętrzne auta, takie jak lakier, szyby, felgi, plastiki, chrom i uszczelki. Wymagają preparatów usuwających błoto, sól, owady i osady drogowe bez ryzyka zmatowienia lub odbarwienia."
wewnętrzne powierzchnie pojazdów,dozwolone_powierzchnie,"Powierzchnie w kabinie pojazdu, np. kokpit, plastiki, ekrany, tapicerka, dywaniki i elementy skórzane. Do ich czyszczenia potrzebne są środki łagodne dla materiałów, niepozostawiające tłustych śladów ani drażniących zapachów."
guma,dozwolone_powierzchnie,"Elastyczny materiał stosowany m.in. w uszczelkach, matach, oponach i elementach antypoślizgowych. Wymaga środków, które nie powodują pękania, twardnienia ani utraty elastyczności."
silniki,dozwolone_powierzchnie,"Powierzchnie silników są zwykle zabrudzone olejem, smarem, sadzą i pyłem, dlatego wymagają środków skutecznie odtłuszczających. Przy czyszczeniu trzeba uważać na elementy elektryczne, uszczelki i metale wrażliwe na silną chemię."
sztućce,dozwolone_powierzchnie,"Sztućce mają bezpośredni kontakt z żywnością, dlatego środki do ich mycia muszą dobrze usuwać tłuszcz i osady, a jednocześnie łatwo się spłukiwać. W przypadku stali nierdzewnej ważne jest unikanie preparatów mogących powodować matowienie lub korozję."
kamień naturalny,dozwolone_powierzchnie,"Kamień naturalny, np. marmur, granit czy trawertyn, może być porowaty i wrażliwy na kwasy. Wymaga dobrania preparatu do rodzaju kamienia, aby nie spowodować przebarwień, zmatowienia lub uszkodzenia powierzchni."
kamień sztuczny,dozwolone_powierzchnie,"Kamień sztuczny to materiał kompozytowy lub konglomerat stosowany m.in. na blatach, parapetach i okładzinach. Może reagować na silne rozpuszczalniki lub agresywne środki, dlatego zaleca się czyszczenie preparatami bezpiecznymi dla powłok i spoiw."
fasady,dozwolone_powierzchnie,"Fasady to zewnętrzne powierzchnie budynków narażone na kurz, sadzę, glony, osady atmosferyczne i zacieki. Wymagają środków dopasowanych do materiału elewacji, aby skutecznie czyścić bez odbarwień i uszkodzeń."
posadzki przemysłowe,dozwolone_powierzchnie,"Posadzki przemysłowe to wytrzymałe podłoża, najczęściej betonowe, żywiczne lub ceramiczne, używane w halach i magazynach. Wymagają preparatów odpornych na intensywne zabrudzenia, takie jak oleje, ślady opon czy pył technologiczny."
parkingi,dozwolone_powierzchnie,"Parkingi to powierzchnie narażone na oleje, paliwa, ślady opon, sól drogową i brud nanoszony przez pojazdy. Do ich czyszczenia potrzebne są środki odtłuszczające i bezpieczne dla betonu, kostki lub nawierzchni żywicznej."
podjazdy,dozwolone_powierzchnie,"Podjazdy najczęściej wykonane są z betonu, kostki brukowej, kamienia lub asfaltu i szybko gromadzą błoto, mech, oleje oraz osady z kół. Wymagają preparatów dobranych do rodzaju nawierzchni, aby nie powodować odbarwień ani wypłukiwania spoin."
garaże,dozwolone_powierzchnie,"Garaże mają powierzchnie narażone na olej silnikowy, paliwo, sól, błoto i ślady opon. Przy czyszczeniu ważne jest użycie środków odtłuszczających, które są bezpieczne dla posadzki i nie pozostawiają śliskiej warstwy."
centra logistyczne,dozwolone_powierzchnie,"Centra logistyczne obejmują duże powierzchnie magazynowe i przeładunkowe intensywnie eksploatowane przez wózki, palety i pojazdy. Środki czyszczące muszą radzić sobie z pyłem, śladami opon i zabrudzeniami technicznymi, nie pogarszając przyczepności posadzki."
PVC,dozwolone_powierzchnie,"PVC to tworzywo sztuczne stosowane m.in. w wykładzinach, panelach, listwach i elementach wyposażenia. Wymaga środków, które nie odbarwiają, nie zmiękczają materiału i nie niszczą warstwy ochronnej."
płytki ceramiczne,dozwolone_powierzchnie,"Płytki ceramiczne to twarde, wypalane okładziny odporne na wilgoć i częste mycie. Szczególnej uwagi wymagają fugi oraz powierzchnie szkliwione, które mogą matowieć przy zbyt agresywnych preparatach."
gres,dozwolone_powierzchnie,"Gres to bardzo twarda i mało nasiąkliwa ceramika stosowana na podłogach i ścianach. Wersje matowe i strukturalne mogą zatrzymywać brud w mikroporach, dlatego wymagają skutecznego, ale niepozostawiającego smug środka."
płytki kwasoodporne,dozwolone_powierzchnie,"Płytki kwasoodporne są przeznaczone do miejsc narażonych na działanie kwasów i agresywnych zabrudzeń, np. w przemyśle lub gastronomii. Mimo wysokiej odporności należy dobrać środek do fug i warunków pracy, aby nie osłabić całego systemu posadzki."
elementy pionowe,dozwolone_powierzchnie,"Elementy pionowe to ściany, boki urządzeń, panele, drzwi lub inne powierzchnie czyszczone w pozycji pionowej. Wymagają preparatów dobrze przylegających do powierzchni, aby nie spływały zbyt szybko i mogły skutecznie zadziałać."
wyposażenie wnętrz,dozwolone_powierzchnie,"Wyposażenie wnętrz obejmuje meble, obudowy, blaty, elementy dekoracyjne i użytkowe wykonane z różnych materiałów. Przy czyszczeniu ważne jest dobranie łagodnego środka, który usuwa zabrudzenia bez uszkadzania powłok, lakierów i tworzyw."
fronty szafek,dozwolone_powierzchnie,"Fronty szafek mogą być lakierowane, laminowane, drewniane, fornirowane lub wykonane z tworzyw sztucznych. Wymagają środków, które usuwają tłuste ślady dłoni i zabrudzenia, ale nie powodują matowienia, pęcznienia ani odklejania oklein."
parapety,dozwolone_powierzchnie,"Parapety wykonuje się z kamienia, PVC, drewna, konglomeratu lub metalu, dlatego sposób czyszczenia zależy od materiału. Są narażone na kurz, wilgoć, osady z doniczek i promieniowanie UV, więc wymagają preparatów niepowodujących przebarwień."
klamki,dozwolone_powierzchnie,"Klamki to często dotykane elementy z metalu, tworzywa lub powłok dekoracyjnych, na których szybko gromadzą się zabrudzenia i drobnoustroje. Wymagają regularnego czyszczenia lub dezynfekcji środkami bezpiecznymi dla powłoki i skóry użytkowników po wyschnięciu."
poręcze,dozwolone_powierzchnie,"Poręcze są intensywnie dotykane w ciągach komunikacyjnych, dlatego stanowią ważny punkt higieny w obiektach publicznych i zakładach pracy. Środki do ich czyszczenia powinny usuwać zabrudzenia i ograniczać ryzyko przenoszenia drobnoustrojów, nie niszcząc metalu, drewna ani tworzywa."
powierzchnie matowe,dozwolone_powierzchnie,"Powierzchnie bez połysku, np. matowe płytki, laminaty lub lakierowane elementy, na których łatwo widać smugi i wybłyszczenia. Wymagają łagodnych środków bez nadmiernego nabłyszczania i bez agresywnego szorowania."
drewno,dozwolone_powierzchnie,"Naturalny materiał wrażliwy na nadmiar wody, silne alkalia i rozpuszczalniki, które mogą powodować pęcznienie, odbarwienia lub uszkodzenie powłoki. Do czyszczenia stosuje się preparaty delikatne, najlepiej przeznaczone do drewna lakierowanego, olejowanego lub surowego."
laminat,dozwolone_powierzchnie,"Warstwowy materiał wykończeniowy stosowany m.in. na blatach, meblach i podłogach, zwykle odporny na codzienne zabrudzenia. Przy czyszczeniu trzeba unikać zbyt agresywnych środków i nadmiaru wody na łączeniach, aby nie doprowadzić do puchnięcia lub matowienia."
skóra,dozwolone_powierzchnie,"Materiał naturalny lub syntetyczny używany w tapicerce i wyposażeniu, podatny na przesuszenie, pękanie i odbarwienia. Wymaga środków przeznaczonych do skóry, które czyszczą łagodnie i nie wypłukują warstwy ochronnej."
odporne na wodę,dozwolone_powierzchnie,"Powierzchnie, które mogą być czyszczone metodami mokrymi bez ryzyka szybkiego uszkodzenia, pęcznienia lub korozji. Mimo odporności warto kontrolować czas kontaktu z wodą i dokładnie osuszać miejsca łączeń oraz elementy metalowe."
urządzenia,dozwolone_powierzchnie,"Elementy wyposażenia i aparatury używane w obiektach produkcyjnych, gastronomicznych lub usługowych, często wykonane z metalu, tworzyw i uszczelek. Czyszczenie wymaga doboru środka bezpiecznego dla materiałów oraz unikania zalewania części elektrycznych i sterujących."
sprzęt pomocniczy,dozwolone_powierzchnie,"Akcesoria i wyposażenie wspierające pracę, np. wózki, pojemniki, narzędzia, stojaki czy uchwyty. Czyszczenie powinno usuwać zabrudzenia użytkowe i ograniczać przenoszenie zanieczyszczeń między strefami pracy."
mieszalniki,dozwolone_powierzchnie,"Urządzenia procesowe służące do mieszania surowców lub produktów, często z trudno dostępnymi zakamarkami i elementami ruchomymi. Wymagają dokładnego mycia powierzchni kontaktujących się z produktem oraz środków kompatybilnych ze stalą nierdzewną, uszczelkami i smarami technicznymi."
zbiorniki,dozwolone_powierzchnie,"Pojemniki procesowe lub magazynowe do przechowywania cieczy, past albo proszków, narażone na osady i pozostałości produktu. Przy czyszczeniu ważne jest dotarcie do ścian, dna, króćców i uszczelek oraz dobranie preparatu do rodzaju zanieczyszczeń."
rurociągi,dozwolone_powierzchnie,"Instalacje przesyłowe transportujące media w zakładach produkcyjnych, gdzie zanieczyszczenia mogą osadzać się wewnątrz przewodów. Zwykle wymagają mycia obiegowego lub przepłukiwania środkami dobranymi do osadów i materiału instalacji."
linie technologiczne,dozwolone_powierzchnie,"Zestawy maszyn, przenośników, rurociągów i stanowisk tworzących ciąg produkcyjny. Czyszczenie musi uwzględniać różne materiały, miejsca kontaktu z produktem oraz ryzyko przestojów i zanieczyszczeń krzyżowych."
przemysł farmaceutyczny,dozwolone_powierzchnie,"Środowisko produkcji leków i wyrobów medycznych, gdzie czystość powierzchni ma kluczowe znaczenie dla bezpieczeństwa produktu. Stosowane środki muszą być skuteczne, powtarzalne i zgodne z procedurami higienicznymi oraz wymaganiami walidacji czyszczenia."
pojazdy,dozwolone_powierzchnie,"Powierzchnie zewnętrzne i wewnętrzne samochodów, busów lub pojazdów specjalnych, obejmujące lakier, plastiki, gumę, szkło i metal. Wymagają środków usuwających brud drogowy bez uszkadzania lakieru, uszczelek i elementów dekoracyjnych."
plandeki,dozwolone_powierzchnie,"Elastyczne pokrycia z tkanin powlekanych PVC lub podobnych tworzyw, stosowane m.in. w transporcie. Przy czyszczeniu trzeba usuwać brud drogowy i naloty bez naruszania powłoki ochronnej oraz bez nadmiernego szorowania."
ciężarówki,dozwolone_powierzchnie,"Pojazdy użytkowe narażone na silne zabrudzenia drogowe, oleje, pył, błoto i osady z eksploatacji. Czyszczenie wymaga preparatów skutecznych na duże powierzchnie, ale bezpiecznych dla lakieru, aluminium, gumy i tworzyw."
cysterny,dozwolone_powierzchnie,"Zbiorniki transportowe do przewozu cieczy lub materiałów sypkich, które mogą wymagać mycia zewnętrznego i wewnętrznego. Dobór środka zależy od przewożonego produktu, materiału cysterny oraz wymagań higienicznych i bezpieczeństwa."
maszyny budowlane,dozwolone_powierzchnie,"Sprzęt pracujący w ciężkich warunkach, narażony na błoto, smary, oleje, cement i pył mineralny. Do czyszczenia stosuje się zwykle mocniejsze preparaty odtłuszczające, z uwzględnieniem ochrony lakieru, hydrauliki, uszczelek i elementów elektrycznych."
maszyny rolnicze,dozwolone_powierzchnie,"Sprzęt narażony na ziemię, resztki roślinne, nawozy, oleje i smary, które mogą przyspieszać korozję. Czyszczenie powinno usuwać zabrudzenia eksploatacyjne, a jednocześnie być bezpieczne dla lakieru, gumy, metalu i elementów roboczych."
wózki widłowe,dozwolone_powierzchnie,"Pojazdy magazynowe i produkcyjne z elementami metalowymi, gumowymi, plastikowymi oraz często z instalacją elektryczną lub akumulatorami. Czyszczenie wymaga ostrożności przy częściach elektrycznych, hamulcach i powierzchniach antypoślizgowych."
odporne na alkalia,dozwolone_powierzchnie,"Powierzchnie, które tolerują kontakt z zasadowymi środkami czyszczącymi, często stosowanymi do usuwania tłuszczu, oleju i białek. Mimo odporności należy przestrzegać zalecanego stężenia i czasu działania, aby nie uszkodzić powłok, aluminium lub delikatnych uszczelek."
terakota,dozwolone_powierzchnie,"Płytki ceramiczne wypalane z gliny, często stosowane na podłogach w kuchniach, sanitariatach i ciągach komunikacyjnych. Wymaga środków dobranych tak, aby usuwać zabrudzenia z porów i fug bez matowienia powierzchni."
klinkier,dozwolone_powierzchnie,"Twarda ceramika o niskiej nasiąkliwości, używana na posadzkach, elewacjach i schodach. Przy czyszczeniu trzeba uważać na fugi oraz osady mineralne, dobierając preparaty bezpieczne dla ceramiki i spoin."
linoleum,dozwolone_powierzchnie,"Elastyczna wykładzina podłogowa z naturalnych składników, wrażliwa na zbyt silne alkalia i nadmiar wody. Najlepiej czyścić ją łagodnymi środkami o odpowiednim pH, aby nie uszkodzić warstwy ochronnej."
lastryko,dozwolone_powierzchnie,"Materiał posadzkowy z kruszywa kamiennego zatopionego w spoiwie cementowym lub żywicznym. Może chłonąć zabrudzenia i matowieć, dlatego wymaga środków dobranych do rodzaju spoiwa oraz stopnia zabezpieczenia powierzchni."
podłogi żywiczne,dozwolone_powierzchnie,"Posadzki wykonane z żywic epoksydowych, poliuretanowych lub podobnych, często stosowane w obiektach przemysłowych i magazynach. Wymagają preparatów, które nie zmiękczają ani nie odbarwiają powłoki ochronnej."
homogenizatory,dozwolone_powierzchnie,"Urządzenia przemysłowe służące do rozdrabniania i ujednolicania mieszanin, np. w produkcji spożywczej lub kosmetycznej. Ich czyszczenie wymaga środków skutecznych wobec tłuszczów i osadów, a jednocześnie bezpiecznych dla stali i elementów mających kontakt z produktem."
fermentatory,dozwolone_powierzchnie,"Zbiorniki technologiczne używane do procesów fermentacji w przemyśle spożywczym, browarniczym lub biotechnologicznym. Wymagają dokładnego mycia i dezynfekcji, aby usuwać osady organiczne i ograniczać ryzyko skażenia mikrobiologicznego."
wymienniki,dozwolone_powierzchnie,"Elementy instalacji służące do przekazywania ciepła, np. wymienniki płytowe lub rurowe. Podczas czyszczenia usuwa się z nich kamień, tłuszcze i osady technologiczne, dobierając środek do metalu oraz typu zabrudzeń."
