product_id,dozwolone_powierzchnie,odradzane_powierzchnie,metoda_mycia,zgodnosc_i_certyfikaty,ostrzezenia_bhp,odczyn_ph
11,"[""podłogi"", ""wanny"", ""brodziki"", ""kabiny prysznicowe"", ""umywalki"", ""toalety"", ""pisuary"", ""armatura"", ""powierzchnie sanitarne""]",[],"[""pianowe"", ""natryskowe"", ""ręczne""]","[""ifra"", ""rspo""]","[""wykonać próbę wstępną""]",
12,"[""toalety"", ""pisuary"", ""wanny"", ""brodziki"", ""armatura"", ""powierzchnie sanitarne""]","[""powierzchnie wrażliwe na kwasy"", ""aluminium""]","[""ręczne""]",[],"[""wykonać próbę wstępną"", ""spłukać wodą""]",
13,"[""samochody"", ""zewnętrzne powierzchnie pojazdów"", ""wnętrza pojazdów"", ""tworzywa sztuczne"", ""guma"", ""metal"", ""narzędzia"", ""silniki""]",[],"[""ręczne"", ""pianowe""]",[],[],
14,"[""szkło"", ""porcelana"", ""sztućce"", ""naczynia"", ""stal nierdzewna"", ""tworzywa sztuczne"", ""garnki""]","[""aluminium"", ""miedź"", ""mosiądz"", ""zmywarki domowe""]","[""maszynowe"", ""zmywarki"", ""systemy dozujące""]",[],"[""użytek profesjonalny"", ""nie do zmywarek""]",
15,"[""kostka brukowa"", ""kamień"", ""kamień naturalny"", ""kamień sztuczny"", ""beton"", ""fasady"", ""posadzki przemysłowe"", ""powierzchnie ponadpodłogowe""]","[""powierzchnie wrażliwe na zasady"", ""powierzchnie chłonne""]","[""ciśnieniowe"", ""ręczne"", ""maszynowe""]","[""ifra"", ""rspo""]","[""spłukać wodą"", ""wykonać próbę wstępną""]",lekko zasadowy
16,"[""szkło"", ""porcelana"", ""sztućce"", ""naczynia"", ""stal nierdzewna"", ""tworzywa sztuczne"", ""garnki""]","[""aluminium"", ""miedź"", ""mosiądz"", ""zmywarki domowe""]","[""maszynowe""]",[],"[""instrukcja urządzenia""]",
17,"[""naczynia"", ""szkło"", ""porcelana"", ""sztućce"", ""stal nierdzewna"", ""tworzywa sztuczne"", ""garnki""]","[""aluminium"", ""miedź"", ""mosiądz"", ""zmywarki domowe""]","[""maszynowe"", ""zmywarki"", ""systemy dozujące""]",[],"[""użytek profesjonalny"", ""instrukcja urządzenia""]",
18,"[""beton"", ""metal"", ""tworzywa sztuczne"", ""kostka brukowa"", ""kamień naturalny"", ""kamień sztuczny"", ""fasady"", ""parkingi"", ""podjazdy"", ""posadzki przemysłowe"", ""garaże"", ""centra logistyczne""]",[],"[""ciśnieniowe"", ""ręczne"", ""maszynowe""]",[],"[""spłukać wodą""]",
19,"[""naczynia"", ""sztućce"", ""szkło"", ""porcelana"", ""ceramika"", ""stal nierdzewna""]","[""aluminium""]","[""maszynowe"", ""wybielanie"", ""zmywarki"", ""systemy dozujące""]","[""bez fosforanów"", ""ekologiczny"", ""bez eutrofizacji""]","[""ochrona oczu i rąk"", ""karta charakterystyki"", ""karta stanowiskowa""]",
20,"[""szkło"", ""porcelana"", ""sztućce"", ""naczynia"", ""stal nierdzewna"", ""tworzywa sztuczne"", ""garnki"", ""powierzchnie ponadpodłogowe""]",[],"[""maszynowe"", ""systemy dozujące"", ""pianowe""]","[""ifra"", ""rspo""]","[""instrukcja urządzenia"", ""karta charakterystyki"", ""środki ochrony osobistej""]",
21,"[""szkło"", ""porcelana"", ""sztućce"", ""naczynia"", ""stal nierdzewna"", ""tworzywa sztuczne""]",[],"[""maszynowe"", ""systemy dozujące""]","[""haccp"", ""rspo""]","[""karta charakterystyki"", ""stosować zgodnie"", ""dobrać dozowanie""]",
22,"[""podłogi"", ""zmywalne powierzchnie""]","[""drewno niezabezpieczone"", ""materiały wrażliwe na wodę""]","[""ręczne"", ""maszynowe""]","[""ifra"", ""rspo""]","[""wykonać próbę wstępną""]",
23,[],[],[],[],[],
24,"[""podłogi"", ""tworzywa sztuczne"", ""pvc"", ""kamień sztuczny"", ""kamień naturalny"", ""płytki ceramiczne"", ""gres""]",[],"[""ręczne"", ""maszynowe""]","[""ekologiczny"", ""ifra"", ""rspo"", ""bez sls"", ""bez dodecylobenzenosulfonianów"", ""bez edta"", ""bez nta""]",[],
25,"[""powierzchnie sanitarne"", ""umywalki"", ""wanny"", ""brodziki"", ""kabiny prysznicowe"", ""armatura"", ""płytki kwasoodporne"", ""powierzchnie ponadpodłogowe"", ""powierzchnie pionowe""]",[],"[""pianowe"", ""ręczne""]","[""ifra"", ""rspo""]",[],
26,"[""meble"", ""wyposażenie wnętrz"", ""zmywalne powierzchnie"", ""blaty"", ""fronty szafek"", ""parapety"", ""stoły"", ""ściany"", ""klamki"", ""poręcze"", ""powierzchnie błyszczące"", ""powierzchnie matowe"", ""drewno"", ""laminat"", ""tworzywa sztuczne"", ""szkło"", ""skóra"", ""odporne na wodę"", ""powierzchnie ponadpodłogowe""]","[""materiały wrażliwe na wodę""]","[""ręczne"", ""pianowe""]","[""ifra"", ""rspo""]","[""wykonać próbę wstępną"", ""karta charakterystyki""]",lekko zasadowy
27,"[""zmywalne powierzchnie"", ""blaty"", ""meble"", ""urządzenia"", ""szkło"", ""tworzywa sztuczne"", ""metal"", ""skóra"", ""drewno"", ""powierzchnie ponadpodłogowe""]",[],"[""pianowe""]","[""ifra"", ""rspo"", ""bez edta"", ""bez nta"", ""bez sls"", ""bez fosforanów"", ""bez dodecylobenzenosulfonianów"", ""opakowanie refill"", ""opakowanie do recyklingu"", ""składniki roślinne""]",[],
28,"[""stal nierdzewna"", ""porcelana"", ""ceramika"", ""tworzywa sztuczne""]","[""aluminium""]","[""mycie cip"", ""natryskowe"", ""ciśnieniowe"", ""ręczne""]",[],[],silnie zasadowy
29,"[""łazienki"", ""toalety"", ""powierzchnie sanitarne"", ""umywalki"", ""pisuary"", ""kabiny prysznicowe"", ""wanny"", ""brodziki"", ""armatura"", ""fugi""]","[""powierzchnie wrażliwe na kwasy"", ""aluminium"", ""miedź"", ""mosiądz"", ""kamień naturalny"", ""powierzchnie lakierowane"", ""szkło akrylowe""]","[""pianowe"", ""ręczne""]","[""ifra"", ""rspo""]","[""nie mieszać z zasadami"", ""aplikować i spłukać""]",
30,"[""urządzenia"", ""sprzęt pomocniczy"", ""mieszalniki"", ""zbiorniki"", ""rurociągi"", ""linie technologiczne"", ""przemysł farmaceutyczny"", ""stal nierdzewna"", ""ceramika"", ""porcelana"", ""tworzywa sztuczne""]","[""aluminium""]","[""mycie cip"", ""natryskowe"", ""ciśnieniowe"", ""ręczne""]","[""bez fosforanów""]",[],silnie zasadowy
31,"[""pojazdy"", ""plandeki"", ""samochody"", ""ciężarówki"", ""cysterny"", ""maszyny budowlane"", ""maszyny rolnicze"", ""wózki widłowe""]","[""powierzchnie wrażliwe na zasady"", ""rozgrzane powierzchnie""]","[""ręczne"", ""ciśnieniowe"", ""myjnie samochodowe"", ""pianowe"", ""natryskowe""]",[],"[""unikać zasad"", ""unikać gorąca"", ""rękawice ochronne"", ""okulary ochronne""]",lekko zasadowy
32,"[""odporne na alkalia"", ""glazura"", ""gres"", ""terakota"", ""klinkier"", ""pvc"", ""linoleum"", ""lastryko"", ""posadzki przemysłowe"", ""podłogi żywiczne""]","[""drewno"", ""panele"", ""aluminium"", ""powierzchnie lakierowane""]","[""maszynowe"", ""ciśnieniowe"", ""ręczne""]","[""haccp""]",[],silnie zasadowy
33,"[""stal nierdzewna"", ""porcelana"", ""ceramika"", ""tworzywa sztuczne"", ""mieszalniki"", ""homogenizatory"", ""zbiorniki"", ""fermentatory"", ""rurociągi"", ""wymienniki"", ""linie technologiczne"", ""urządzenia"", ""instalacje""]","[""aluminium""]","[""mycie cip"", ""natryskowe"", ""ciśnieniowe"", ""ręczne""]",[],[],kwaśny
34,"[""piekarniki"", ""kuchenki"", ""grille"", ""okapy"", ""kominki"", ""piece"", ""garnki"", ""patelnie""]","[""piekarniki samoczyszczące""]","[""pianowe""]","[""rspo"", ""haccp""]","[""temperatura powierzchni"", ""wykonać próbę wstępną"", ""instrukcja urządzenia"", ""nie do pieców parowych""]",
35,"[""zmywalne powierzchnie"", ""meble"", ""urządzenia"", ""urządzenia biurowe"", ""szkło"", ""laminat"", ""tworzywa sztuczne"", ""powierzchnie szkliwione"", ""powierzchnie ponadpodłogowe""]","[""materiały wrażliwe na wodę""]","[""ręczne"", ""pianowe""]","[""ifra"", ""rspo""]","[""wykonać próbę wstępną"", ""unikać wody"", ""dobrać dozowanie""]",neutralny
36,"[""zmywalne powierzchnie"", ""skóra dłoni""]",[],"[""pianowe"", ""ręczne""]","[""normy mikrobiologiczne ue""]",[],
37,"[""piece"", ""stal nierdzewna"", ""stal stopowa"", ""aluminium""]",[],"[""maszynowe"", ""ręczne"", ""ciśnieniowe"", ""natryskowe""]",[],[],neutralny
38,"[""meble"", ""wyposażenie wnętrz"", ""urządzenia biurowe"", ""sprzęt kuchenny"", ""blaty"", ""fronty szafek"", ""parapety"", ""stoły"", ""ściany"", ""klamki"", ""poręcze"", ""zmywalne powierzchnie"", ""laminat"", ""tworzywa sztuczne"", ""szkło"", ""skóra"", ""zabezpieczone drewno"", ""powierzchnie ponadpodłogowe""]","[""materiały wrażliwe na wodę""]","[""ręczne"", ""pianowe""]","[""ifra"", ""rspo""]","[""wykonać próbę wstępną""]",
39,"[""szkło"", ""glazura"", ""tworzywa sztuczne"", ""stal nierdzewna""]","[""rozgrzane powierzchnie"", ""materiały wrażliwe na wodę""]","[""ręczne""]","[""ifra"", ""rspo""]","[""unikać gorąca"", ""unikać wody""]",
40,"[""zewnętrzne powierzchnie pojazdów"", ""karoseria""]",[],"[""pianowe"", ""ręczne"", ""ciśnieniowe""]",[],"[""unikać kontaktu z oczami"", ""stosować zgodnie""]",
41,"[""szkło"", ""zmywalne powierzchnie"", ""porcelana"", ""ceramika"", ""tworzywa sztuczne"", ""stal nierdzewna"", ""aluminium""]",[],"[""ręczne""]","[""ifra"", ""rspo"", ""opakowanie do recyklingu""]",[],
42,"[""podłogi"", ""zmywalne powierzchnie"", ""ściany"", ""sufity""]","[""materiały wrażliwe na wodę"", ""powierzchnie wrażliwe na alkohol"", ""powierzchnie zabezpieczone polimerem""]","[""ręczne"", ""maszynowe""]","[""ifra"", ""rspo""]","[""wykonać próbę wstępną""]",
43,"[""silniki""]",[],"[""pianowe"", ""ciśnieniowe"", ""ręczne""]",[],"[""nie stosować rozgrzane"", ""instrukcja urządzenia"", ""spłukać wodą""]",
44,"[""silniki"", ""narzędzia"", ""metal"", ""tworzywa sztuczne"", ""guma"", ""wszystkie powierzchnie"", ""lakier samochodowy""]",[],"[""ręczne"", ""pianowe"", ""natryskowe""]",[],"[""zasady bezpieczeństwa"", ""unikać kontaktu z oczami"", ""spłukać wodą""]",
45,"[""blaty"", ""podłogi"", ""ściany"", ""naczynia"", ""narzędzia"", ""części samochodowe"", ""zatłuszczone powierzchnie"", ""sufity"", ""przedmioty"", ""wrażliwe na alkalia"", ""aluminium"", ""kontakt z żywnością""]",[],"[""ręczne"", ""ciśnieniowe"", ""maszynowe"", ""mycie cip""]","[""przemysł spożywczy""]","[""spłukać wodą"", ""wykonać próbę wstępną""]",
46,"[""podłogi"", ""tworzywa sztuczne"", ""pvc"", ""kamień sztuczny"", ""kamień naturalny"", ""płytki ceramiczne"", ""gres""]",[],"[""ręczne"", ""maszynowe""]","[""ifra"", ""rspo""]",[],
47,"[""panele"", ""parkiety"", ""drewno""]","[""drewno niezabezpieczone"", ""materiały wrażliwe na wodę""]","[""ręczne""]",[],"[""unikać wody""]",neutralny
48,"[""podłogi"", ""glazura"", ""gres"", ""terakota"", ""klinkier"", ""lastryko"", ""granit"", ""podłogi żywiczne""]","[""drewno"", ""panele"", ""powierzchnie lakierowane"", ""aluminium"", ""powierzchnie wrażliwe na zasady""]","[""ręczne"", ""maszynowe""]","[""ifra"", ""rspo""]","[""wykonać próbę wstępną""]",
49,"[""podłogi"", ""odporne na wodę""]","[""materiały wrażliwe na wodę"", ""powierzchnie wrażliwe na odtłuszczacze""]","[""ręczne"", ""maszynowe""]","[""pn-en 13036-4""]","[""wykonać próbę wstępną"", ""dobrać dozowanie""]",
50,"[""zmywalne powierzchnie"", ""przedmioty"", ""urządzenia"", ""maszyny"", ""podłogi"", ""ściany"", ""sufity"", ""blaty"", ""kontakt z żywnością"", ""linie technologiczne""]",[],"[""ręczne""]",[],"[""spłukać wodą""]",
51,"[""podłogi"", ""zmywalne powierzchnie"", ""ściany"", ""glazura"", ""terakota"", ""fugi"", ""piwnice"", ""komórki"", ""klatki schodowe"", ""toalety"", ""powierzchnie sanitarne""]",[],"[""ręczne""]",[],"[""dobrać dozowanie"", ""wykonać próbę wstępną""]",
52,"[""linoleum"", ""wykładziny pvc"", ""winyl"", ""kauczuk"", ""epoksyd"", ""beton"", ""kamień"", ""gres"", ""powierzchnie ponadpodłogowe""]",[],"[""ręczne"", ""pianowe""]","[""ifra"", ""rspo""]",[],
53,"[""podłogi"", ""gres"", ""panele"", ""terakota"", ""płytki ceramiczne"", ""winyl"", ""marmur"", ""twarde powierzchnie"", ""powierzchnie ponadpodłogowe""]",[],"[""ręczne"", ""maszynowe"", ""systemy dozujące"", ""pianowe""]","[""ifra"", ""rspo""]",[],
54,"[""odpływy"", ""rurociągi""]","[""powierzchnie wrażliwe na zasady"", ""aluminium""]","[""ręczne""]",[],[],
55,"[""stal nierdzewna"", ""stal kwasoodporna"", ""stal stopowa"", ""aluminium"", ""powierzchnie ponadpodłogowe"", ""windy"", ""maszyny"", ""balustrady"", ""urządzenia"", ""meble""]",[],"[""ręczne"", ""pianowe"", ""natryskowe""]","[""ifra"", ""rspo""]","[""wykonać próbę wstępną"", ""karta charakterystyki""]",
56,"[""lodówki"", ""witryny chłodnicze"", ""pojemniki szklane"", ""pojemniki plastikowe"", ""uszczelki"", ""powierzchnie ponadpodłogowe""]","[""materiały wrażliwe na wodę"", ""powierzchnie wrażliwe na alkohol""]","[""ręczne"", ""pianowe""]","[""haccp"", ""ifra"", ""rspo""]","[""wykonać próbę wstępną"", ""karta charakterystyki""]",
57,"[""podłogi"", ""odporne na wodę"", ""powierzchnie ponadpodłogowe""]","[""materiały wrażliwe na wodę"", ""powierzchnie zabezpieczone polimerem""]","[""maszynowe"", ""ręczne"", ""pianowe""]","[""haccp"", ""ifra"", ""rspo""]","[""wykonać próbę wstępną""]",
58,"[""gofrownice"", ""naleśnikarki"", ""tostery"", ""opiekacze"", ""urządzenia do kebabów"", ""bemary"", ""ciepłe powierzchnie""]","[""aluminium"", ""miedź"", ""mosiądz"", ""powierzchnie lakierowane"", ""piekarniki samoczyszczące""]","[""ręczne"", ""natryskowe"", ""pianowe""]",[],"[""spłukać wodą"", ""rękawice ochronne"", ""okulary ochronne""]",
59,[],[],"[""natryskowe""]",[],"[""unikać kontaktu z oczami""]",
60,"[""podłogi"", ""zmywalne powierzchnie"", ""duże powierzchnie"", ""powierzchnie błyszczące"", ""powierzchnie szkliste""]","[""materiały wrażliwe na wodę"", ""powierzchnie wrażliwe na alkohol"", ""powierzchnie zabezpieczone polimerem""]","[""maszynowe"", ""ręczne""]","[""ifra"", ""rspo"", ""ekologiczny""]","[""unikać wody""]",
61,"[""odporne na wodę"", ""powierzchnie obiektowe""]","[""materiały wrażliwe na wodę"", ""powierzchnie zabezpieczone polimerem""]","[""ręczne"", ""maszynowe""]",[],"[""wykonać próbę wstępną""]",zasadowy
62,"[""skóra dłoni""]","[""błony śluzowe"", ""otwarte rany""]","[""ręczne"", ""wcieranie w dłonie""]","[""pn-en 1500"", ""przebadany dermatologicznie""]","[""nie stosować na skórę"", ""spłukać wodą"", ""karta charakterystyki"", ""stosować zgodnie""]",
63,"[""odporne na alkalia"", ""gres"", ""granit"", ""terakota"", ""lastryko"", ""klinkier"", ""płytki ceramiczne""]","[""drewno"", ""panele"", ""aluminium"", ""powierzchnie chłonne"", ""powierzchnie lakierowane"", ""powierzchnie wrażliwe na zasady""]","[""ręczne"", ""maszynowe"", ""ciśnieniowe""]",[],"[""dobrać dozowanie"", ""wykonać próbę wstępną""]",zasadowy
64,"[""posadzki twarde"", ""gres"", ""terakota"", ""lastryko"", ""klinkier"", ""płytki"", ""płytki ceramiczne"", ""powierzchnie mineralne""]","[""powierzchnie wrażliwe na kwasy"", ""kamień naturalny"", ""beton""]","[""ręczne"", ""maszynowe"", ""ciśnieniowe""]",[],"[""wykonać próbę wstępną"", ""dobrać stężenie""]",kwaśny
65,"[""pvc"", ""kamień"", ""beton"", ""gres"", ""klinkier"", ""guma"", ""ksylolit""]","[""linoleum"", ""aluminium"", ""drewno"", ""parkiet"", ""panele"", ""korek""]","[""ręczne"", ""maszynowe""]",[],"[""spłukać i osuszyć""]",zasadowy
66,"[""stal nierdzewna"", ""aluminium"", ""porcelana"", ""ceramika"", ""tworzywa sztuczne""]",[],"[""myjnie samochodowe"", ""ręczne"", ""mycie cip"", ""natryskowe"", ""ciśnieniowe""]","[""bez fosforanów""]",[],neutralny
67,"[""piece"", ""odporne na alkalia"", ""stal nierdzewna"", ""stal stopowa""]","[""aluminium"", ""miedź"", ""mosiądz"", ""powierzchnie lakierowane""]","[""maszynowe"", ""ręczne""]","[""haccp""]","[""instrukcja urządzenia"", ""stosować zgodnie""]",silnie zasadowy
68,"[""piece"", ""stal nierdzewna"", ""stal stopowa"", ""odporne na kwasy""]","[""aluminium"", ""miedź"", ""powierzchnie lakierowane""]","[""maszynowe"", ""ręczne"", ""ciśnieniowe"", ""natryskowe""]","[""haccp""]","[""aplikować na ciepło""]",kwaśny
69,"[""szkło"", ""porcelana"", ""ceramika"", ""stal nierdzewna"", ""aluminium"", ""garnki"", ""talerze"", ""patelnie""]",[],"[""ręczne""]","[""rspo"", ""haccp""]","[""spłukać wodą"", ""recykling opakowania""]",
70,"[""stal nierdzewna"", ""stal stopowa"", ""powierzchnie ponadpodłogowe""]",[],"[""maszynowe"", ""pianowe""]","[""ifra"", ""rspo""]","[""instrukcja urządzenia"", ""karta charakterystyki"", ""środki ochrony osobistej""]",
71,"[""skóra dłoni""]",[],"[""ręczne"", ""pianowe""]",[],[],neutralny
72,"[""skóra dłoni""]",[],"[""ręczne""]","[""haccp"", ""przebadany dermatologicznie""]","[""stosować zgodnie""]",
73,"[""zmywalne powierzchnie"", ""urządzenia"", ""kontakt z żywnością"", ""bez kontaktu z żywnością"", ""przedmioty"", ""linie technologiczne"", ""powierzchnie pionowe""]","[""powierzchnie wrażliwe na chlor""]","[""pianowe""]",[],"[""stosować zgodnie"", ""unikać chloru""]",
74,"[""wykładziny"", ""dywany"", ""tapicerka tekstylna"", ""dywaniki"", ""tapicerka samochodowa"", ""meble tapicerowane""]","[""skóra naturalna""]","[""ręczne"", ""pianowe""]",[],"[""sprawdzić kolory""]",
75,"[""tapicerka tekstylna"", ""dywany"", ""wykładziny"", ""tapicerka samochodowa"", ""meble tapicerowane""]","[""skóra naturalna""]","[""ręczne"", ""pranie""]",[],"[""sprawdzić kolory""]",
76,"[""meble tapicerowane"", ""tapicerka samochodowa"", ""tapicerka tekstylna"", ""dywany"", ""wykładziny"", ""tkaniny"", ""tekstylia""]","[""skóra naturalna""]","[""pianowe"", ""pranie"", ""czyszczenie""]",[],"[""sprawdzić kolory""]",
77,"[""samochody"", ""karoseria"", ""lakier samochodowy"", ""woski"", ""powłoki ochronne"", ""pojazdy"", ""części samochodowe""]",[],"[""pianowe"", ""ciśnieniowe"", ""ręczne""]",[],"[""dobrać dozowanie"", ""karta charakterystyki""]",neutralny
78,"[""drewno"", ""laminat"", ""meble"", ""stoły"", ""wyposażenie wnętrz"", ""poręcze"", ""drewno lakierowane""]",[],"[""ręczne""]",[],"[""wykonać próbę wstępną"", ""karta charakterystyki""]",
79,"[""powierzchnie sanitarne"", ""odporne na wybielacze"", ""toalety"", ""pisuary"", ""wanny"", ""brodziki"", ""kabiny prysznicowe"", ""umywalki"", ""podłogi"", ""schody"", ""armatura""]","[""aluminium"", ""powierzchnie wrażliwe na chlor""]","[""ręczne""]",[],"[""unikać aluminium"", ""wykonać próbę wstępną"", ""spłukać wodą""]",
80,"[""toalety"", ""pisuary"", ""ceramika"", ""powierzchnie sanitarne"", ""wanny"", ""brodziki""]","[""aluminium"", ""stal"", ""żeliwo"", ""powierzchnie wrażliwe na kwasy"", ""armatura łazienkowa""]","[""ręczne""]","[""ifra"", ""rspo""]","[""wykonać próbę wstępną"", ""spłukać wodą"", ""stosować zgodnie""]",
81,"[""samochody"", ""karoseria"", ""zewnętrzne powierzchnie pojazdów""]",[],"[""pianowe"", ""ciśnieniowe"", ""myjnie samochodowe""]",[],"[""spłukać pod ciśnieniem""]",
82,"[""toalety"", ""powierzchnie sanitarne"", ""pisuary"", ""umywalki"", ""kabiny prysznicowe"", ""wanny"", ""armatura""]",[],[],"[""ifra"", ""rspo"", ""opakowanie do recyklingu"", ""opakowanie refill""]",[],
83,"[""samochody"", ""ciężarówki"", ""plandeki"", ""maszyny budowlane"", ""maszyny rolnicze""]",[],"[""ręczne"", ""maszynowe"", ""ciśnieniowe"", ""pianowe"", ""myjnie samochodowe""]",[],[],lekko zasadowy
84,"[""zewnętrzne powierzchnie pojazdów"", ""ciężarówki"", ""samochody"", ""karoseria"", ""plandeki"", ""lakier samochodowy""]","[""rozgrzane powierzchnie""]","[""pianowe"", ""ręczne"", ""ciśnieniowe""]",[],"[""nie stosować rozgrzane""]",zasadowy
85,"[""karoseria"", ""zewnętrzne powierzchnie pojazdów"", ""lakier samochodowy"", ""tworzywa sztuczne"", ""winyl"", ""wnętrza pojazdów"", ""powierzchnie ponadpodłogowe""]","[""rozgrzane powierzchnie""]","[""ręczne"", ""pianowe"", ""płukanie""]","[""ifra"", ""rspo""]","[""unikać gorąca"", ""dobrać dozowanie""]",
86,"[""felgi"", ""lakier samochodowy"", ""aluminium polerowane""]","[""żeliwo"", ""elementy hamulców""]","[""ręczne"", ""natryskowe"", ""ciśnieniowe""]",[],"[""spłukać pod ciśnieniem"", ""stosować zgodnie""]",
87,"[""opony"", ""guma"", ""tworzywa sztuczne"", ""stal""]",[],"[""natryskowe"", ""systemy dozujące""]",[],[],
88,"[""szkło"", ""lampy"", ""karoseria"", ""lakier samochodowy"", ""wszystkie powierzchnie""]",[],"[""ręczne"", ""natryskowe"", ""ciśnieniowe""]",[],"[""unikać kontaktu z oczami"", ""spłukać wodą""]",
89,"[""szkło"", ""reflektory""]",[],"[""ręczne"", ""natryskowe""]",[],"[""unikać kontaktu z oczami"", ""spłukać wodą""]",
90,"[""kokpit"", ""tworzywa sztuczne"", ""wnętrza pojazdów""]",[],"[""pianowe"", ""ręczne""]",[],"[""unikać kontaktu z oczami"", ""spłukać wodą""]",
91,"[""tapicerka samochodowa"", ""siedzenia"", ""dywaniki""]",[],"[""ręczne"", ""pianowe""]",[],"[""wykonać próbę wstępną"", ""unikać kontaktu z oczami""]",
92,"[""odporne na kwasy""]","[""aluminium"", ""mosiądz"", ""miedź"", ""brąz""]","[""pianowe"", ""ręczne""]",[],"[""wykonać próbę wstępną"", ""spłukać wodą""]",
93,"[""urządzenia gastronomiczne"", ""urządzenia"", ""czajniki"", ""ekspresy do kawy"", ""zmywarki"", ""pralki"", ""wyparzarki"", ""bojlery"", ""kotły"", ""parowniki"", ""nagrzewnice""]","[""aluminium"", ""powierzchnie ocynkowane""]",[],[],"[""wykonać próbę wstępną"", ""instrukcja urządzenia""]",
94,"[""odporne na kwasy"", ""zmywarki"", ""wyparzarki"", ""urządzenia gastronomiczne"", ""szkło"", ""naczynia""]",[],[],[],"[""stosować zgodnie"", ""dobrać stężenie"", ""rękawice ochronne"", ""okulary ochronne"", ""karta charakterystyki""]",kwaśny
95,"[""metal"", ""tworzywa sztuczne""]",[],"[""ultradźwiękowe""]","[""biodegradowalny""]",[],lekko zasadowy
96,"[""kuchenki"", ""piekarniki"", ""grille"", ""blaty"", ""zlewozmywaki"", ""płytki"", ""wanny"", ""umywalki"", ""brodziki"", ""stal nierdzewna"", ""naczynia"", ""sprzęt kuchenny""]",[],"[""ręczne""]",[],"[""spłukać wodą"", ""przechowywać 5–25°c""]",
