product_id,dozwolone_powierzchnie,odradzane_powierzchnie,metoda_mycia,zgodnosc_i_certyfikaty,ostrzezenia_bhp,odczyn_ph
11,"[""podłogi"", ""wanny"", ""brodziki"", ""kabiny prysznicowe"", ""umywalki"", ""toalety"", ""pisuary"", ""armatura"", ""powierzchnie sanitarne""]",[],"[""pianowe"", ""natryskowe"", ""ręczne""]","[""IFRA"", ""RSPO""]","[""wykonać próbę wstępną""]",
12,"[""toalety"", ""pisuary"", ""wanny"", ""brodziki"", ""armatura"", ""powierzchnie sanitarne""]","[""powierzchnie wrażliwe na kwasy"", ""aluminium""]","[""ręczne""]",[],"[""wykonać próbę wstępną"", ""spłukać czystą wodą""]",
13,"[""samochody"", ""zewnętrzne powierzchnie pojazdów"", ""wewnętrzne powierzchnie pojazdów"", ""tworzywa sztuczne"", ""guma"", ""metal"", ""narzędzia"", ""silniki""]",[],"[""ręczne"", ""pianowe""]",[],[],
14,"[""szkło"", ""porcelana"", ""sztućce"", ""naczynia"", ""stal nierdzewna"", ""tworzywa sztuczne"", ""garnki""]","[""aluminium"", ""miedź"", ""mosiądz"", ""zmywarki domowe""]","[""maszynowe"", ""zmywarki"", ""systemy dozujące""]",[],"[""użytek profesjonalny"", ""nie do zmywarek domowych""]",
15,"[""kostka brukowa"", ""kamień"", ""kamień naturalny"", ""kamień sztuczny"", ""beton"", ""fasady"", ""posadzki przemysłowe"", ""powierzchnie ponadpodłogowe""]","[""powierzchnie wrażliwe na zasady"", ""powierzchnie chłonne""]","[""ciśnieniowe"", ""ręczne"", ""maszynowe""]","[""IFRA"", ""RSPO""]","[""spłukać czystą wodą"", ""wykonać próbę wstępną""]",lekko zasadowy
16,"[""szkło"", ""porcelana"", ""sztućce"", ""naczynia"", ""stal nierdzewna"", ""tworzywa sztuczne"", ""garnki""]","[""aluminium"", ""miedź"", ""mosiądz"", ""zmywarki domowe""]","[""maszynowe""]",[],"[""zalecenia producenta zmywarki""]",
17,"[""naczynia"", ""szkło"", ""porcelana"", ""sztućce"", ""stal nierdzewna"", ""tworzywa sztuczne"", ""garnki""]","[""aluminium"", ""miedź"", ""mosiądz"", ""zmywarki domowe""]","[""maszynowe"", ""zmywarki"", ""systemy dozujące""]",[],"[""użytek profesjonalny"", ""zalecenia producenta zmywarki""]",
18,"[""beton"", ""metal"", ""tworzywa sztuczne"", ""kostka brukowa"", ""kamień naturalny"", ""kamień sztuczny"", ""fasady"", ""parkingi"", ""podjazdy"", ""posadzki przemysłowe"", ""garaże"", ""centra logistyczne""]",[],"[""ciśnieniowe"", ""ręczne"", ""maszynowe""]",[],"[""spłukać czystą wodą""]",
19,"[""naczynia"", ""sztućce"", ""szkło"", ""porcelana"", ""ceramika"", ""stal nierdzewna""]","[""aluminium""]","[""maszynowe"", ""wybielanie"", ""zmywarki"", ""systemy dozujące""]","[""bez fosforanów"", ""ekologiczny"", ""nie powoduje eutrofizacji""]","[""okulary i rękawice"", ""karta charakterystyki"", ""karta stanowiskowa""]",
20,"[""szkło"", ""porcelana"", ""sztućce"", ""naczynia"", ""stal nierdzewna"", ""tworzywa sztuczne"", ""garnki"", ""powierzchnie ponadpodłogowe""]",[],"[""maszynowe"", ""systemy dozujące"", ""pianowe""]","[""IFRA"", ""RSPO""]","[""zalecenia producenta zmywarki"", ""karta charakterystyki"", ""środki ochrony osobistej""]",
21,"[""szkło"", ""porcelana"", ""sztućce"", ""naczynia"", ""stal nierdzewna"", ""tworzywa sztuczne""]",[],"[""maszynowe"", ""systemy dozujące""]","[""HACCP"", ""RSPO""]","[""karta charakterystyki"", ""stosować zgodnie z przeznaczeniem"", ""dobrać dawkę zmywarki""]",
22,"[""podłogi"", ""zmywalne powierzchnie""]","[""nielakierowane drewno"", ""powierzchnie wrażliwe na wodę""]","[""ręczne"", ""maszynowe""]","[""IFRA"", ""RSPO""]","[""wykonać próbę wstępną""]",
23,[],[],[],[],[],
24,"[""podłogi"", ""tworzywa sztuczne"", ""PVC"", ""kamień sztuczny"", ""kamień naturalny"", ""płytki ceramiczne"", ""gres""]",[],"[""ręczne"", ""maszynowe""]","[""ekologiczny"", ""IFRA"", ""RSPO"", ""bez SLS"", ""bez dodecylobenzenosulfonianów"", ""bez EDTA"", ""bez NTA""]",[],
25,"[""powierzchnie sanitarne"", ""umywalki"", ""wanny"", ""brodziki"", ""kabiny prysznicowe"", ""armatura"", ""płytki kwasoodporne"", ""powierzchnie ponadpodłogowe"", ""elementy pionowe""]",[],"[""pianowe"", ""ręczne""]","[""IFRA"", ""RSPO""]",[],
26,"[""meble"", ""wyposażenie wnętrz"", ""zmywalne powierzchnie"", ""blaty"", ""fronty szafek"", ""parapety"", ""stoły"", ""ściany"", ""klamki"", ""poręcze"", ""powierzchnie błyszczące"", ""powierzchnie matowe"", ""drewno"", ""laminat"", ""tworzywa sztuczne"", ""szkło"", ""skóra"", ""odporne na wodę"", ""powierzchnie ponadpodłogowe""]","[""powierzchnie wrażliwe na wodę""]","[""ręczne"", ""pianowe""]","[""IFRA"", ""RSPO""]","[""wykonać próbę wstępną"", ""karta charakterystyki""]",lekko zasadowy
27,"[""zmywalne powierzchnie"", ""blaty"", ""meble"", ""urządzenia"", ""szkło"", ""tworzywa sztuczne"", ""metal"", ""skóra"", ""drewno"", ""powierzchnie ponadpodłogowe""]",[],"[""pianowe""]","[""IFRA"", ""RSPO"", ""bez EDTA"", ""bez NTA"", ""bez SLS"", ""bez fosforanów"", ""bez dodecylobenzenosulfonianów"", ""opakowanie do ponownego napełnienia"", ""opakowanie do recyklingu"", ""składniki roślinne""]",[],
28,"[""stal nierdzewna"", ""porcelana"", ""ceramika"", ""tworzywa sztuczne""]","[""aluminium""]","[""CIP"", ""natryskowe"", ""ciśnieniowe"", ""ręczne""]",[],[],silnie zasadowy
29,"[""łazienki"", ""toalety"", ""powierzchnie sanitarne"", ""umywalki"", ""pisuary"", ""kabiny prysznicowe"", ""wanny"", ""brodziki"", ""armatura"", ""fugi""]","[""powierzchnie wrażliwe na kwasy"", ""aluminium"", ""miedź"", ""mosiądz"", ""kamień wapienny"", ""powierzchnie lakierowane"", ""powierzchnie malowane"", ""szkło akrylowe""]","[""pianowe"", ""ręczne""]","[""IFRA"", ""RSPO""]","[""unikać kwasów"", ""aplikować piankę i spłukać""]",
30,"[""urządzenia"", ""sprzęt pomocniczy"", ""mieszalniki"", ""zbiorniki"", ""rurociągi"", ""linie technologiczne"", ""przemysł farmaceutyczny"", ""stal nierdzewna"", ""ceramika"", ""porcelana"", ""tworzywa sztuczne""]","[""aluminium""]","[""CIP"", ""natryskowe"", ""ciśnieniowe"", ""ręczne""]","[""bez fosforanów""]",[],silnie zasadowy
31,"[""pojazdy"", ""plandeki"", ""samochody"", ""ciężarówki"", ""cysterny"", ""maszyny budowlane"", ""maszyny rolnicze"", ""wózki widłowe""]","[""powierzchnie wrażliwe na zasady"", ""rozgrzane powierzchnie"", ""nasłonecznione powierzchnie""]","[""ręczne"", ""ciśnieniowe"", ""myjnie samochodowe"", ""pianowe"", ""natryskowe""]",[],"[""unikać zasad"", ""unikać gorąca i słońca"", ""nie dopuścić do wyschnięcia"", ""rękawice ochronne"", ""okulary ochronne""]",lekko zasadowy
32,"[""odporne na alkalia"", ""glazura"", ""gres"", ""terakota"", ""klinkier"", ""PVC"", ""linoleum"", ""lastryko"", ""posadzki przemysłowe"", ""podłogi żywiczne""]","[""drewno"", ""panele"", ""aluminium"", ""powierzchnie lakierowane"", ""powierzchnie malowane""]","[""maszynowe"", ""ciśnieniowe"", ""ręczne""]","[""HACCP""]",[],silnie zasadowy
33,"[""stal nierdzewna"", ""porcelana"", ""ceramika"", ""tworzywa sztuczne"", ""mieszalniki"", ""homogenizatory"", ""zbiorniki"", ""fermentatory"", ""rurociągi"", ""wymienniki"", ""linie technologiczne"", ""urządzenia"", ""instalacje""]","[""aluminium""]","[""CIP"", ""natryskowe"", ""ciśnieniowe"", ""ręczne""]",[],[],kwaśny
34,"[""piekarniki"", ""kuchenki"", ""grille"", ""okapy"", ""kominki"", ""piece"", ""garnki"", ""patelnie""]","[""piekarniki z automatycznym myciem""]","[""pianowe""]","[""RSPO"", ""HACCP""]","[""temperatura powierzchni 30–70°C"", ""wykonać próbę wstępną"", ""instrukcja urządzenia"", ""nie do pieców parowych""]",
35,"[""zmywalne powierzchnie"", ""meble"", ""urządzenia"", ""urządzenia biurowe"", ""szkło"", ""laminat"", ""tworzywa sztuczne"", ""powierzchnie szkliwione"", ""powierzchnie ponadpodłogowe""]","[""powierzchnie wrażliwe na wodę""]","[""ręczne"", ""pianowe"", ""przecieranie ściereczką"", ""mopowanie""]","[""IFRA"", ""RSPO""]","[""wykonać próbę wstępną"", ""unikać wody"", ""rozcieńczyć według dozowania""]",neutralny
36,"[""zmywalne powierzchnie"", ""skóra dłoni""]",[],"[""pianowe"", ""ręczne""]","[""europejskie normy mikrobiologiczne""]",[],
37,"[""piece"", ""stal nierdzewna"", ""stal stopowa"", ""aluminium""]",[],"[""automatyczne"", ""ręczne"", ""ciśnieniowe"", ""natryskowe""]",[],[],neutralny
38,"[""meble"", ""wyposażenie wnętrz"", ""urządzenia biurowe"", ""sprzęt kuchenny"", ""blaty"", ""fronty szafek"", ""parapety"", ""stoły"", ""ściany"", ""klamki"", ""poręcze"", ""zmywalne powierzchnie"", ""laminat"", ""tworzywa sztuczne"", ""szkło"", ""skóra"", ""zabezpieczone drewno"", ""powierzchnie ponadpodłogowe""]","[""powierzchnie wrażliwe na wodę""]","[""ręczne"", ""pianowe""]","[""IFRA"", ""RSPO""]","[""wykonać próbę wstępną""]",
39,"[""szkło"", ""glazura"", ""tworzywa sztuczne"", ""stal nierdzewna""]","[""rozgrzane powierzchnie"", ""powierzchnie wrażliwe na wodę""]","[""ręczne""]","[""IFRA"", ""RSPO""]","[""unikać gorąca i słońca"", ""unikać wody""]",
40,"[""zewnętrzne powierzchnie pojazdów"", ""karoseria""]",[],"[""pianowe"", ""ręczne"", ""ciśnieniowe""]",[],"[""unikać kontaktu z oczami"", ""zalecenia producenta""]",
41,"[""szkło"", ""zmywalne powierzchnie"", ""porcelana"", ""ceramika"", ""tworzywa sztuczne"", ""stal nierdzewna"", ""aluminium""]",[],"[""ręczne""]","[""IFRA"", ""RSPO"", ""opakowanie do recyklingu""]",[],
42,"[""podłogi"", ""zmywalne powierzchnie"", ""ściany"", ""sufity""]","[""powierzchnie wrażliwe na wodę"", ""powierzchnie wrażliwe na alkohol"", ""powierzchnie zabezpieczone polimerem""]","[""ręczne"", ""maszynowe""]","[""IFRA"", ""RSPO""]","[""wykonać próbę wstępną""]",
43,"[""silniki""]",[],"[""pianowe"", ""ciśnieniowe"", ""ręczne""]",[],"[""zimny silnik"", ""zabezpieczyć elektrykę"", ""przepłukać spryskiwacz""]",
44,"[""silniki"", ""narzędzia"", ""metal"", ""tworzywa sztuczne"", ""guma"", ""wszystkie powierzchnie"", ""lakier""]",[],"[""ręczne"", ""pianowe"", ""natryskowe""]",[],"[""podstawowe zasady bezpieczeństwa"", ""unikać kontaktu z oczami"", ""umyć ręce""]",
45,"[""blaty"", ""podłogi"", ""ściany"", ""naczynia"", ""narzędzia"", ""części samochodowe"", ""zatłuszczone powierzchnie"", ""sufity"", ""przedmioty"", ""wrażliwe na alkalia"", ""aluminium"", ""kontakt z żywnością""]",[],"[""ręczne"", ""ciśnieniowe"", ""maszynowe"", ""CIP""]","[""do przemysłu spożywczego""]","[""spłukać wodą pitną"", ""wykonać próbę wstępną""]",
46,"[""podłogi"", ""tworzywa sztuczne"", ""PVC"", ""kamień sztuczny"", ""kamień naturalny"", ""płytki ceramiczne"", ""gres""]",[],"[""ręczne"", ""maszynowe""]","[""IFRA"", ""RSPO""]",[],
47,"[""panele"", ""parkiety"", ""drewno""]","[""niezaimpregnowane drewno"", ""powierzchnie wrażliwe na wodę""]","[""ręczne""]",[],"[""unikać drewna i wody""]",neutralny
48,"[""podłogi"", ""glazura"", ""gres"", ""terakota"", ""klinkier"", ""lastryko"", ""granit"", ""podłogi żywiczne""]","[""drewno"", ""panele"", ""powierzchnie lakierowane"", ""powierzchnie malowane"", ""aluminium"", ""powierzchnie wrażliwe na zasady""]","[""ręczne"", ""maszynowe""]","[""IFRA"", ""RSPO""]","[""wykonać próbę wstępną""]",
49,"[""podłogi zabrudzone"", ""odporne na wodę""]","[""powierzchnie wrażliwe na wodę"", ""powierzchnie wrażliwe na odtłuszczacze""]","[""ręczne"", ""maszynowe""]","[""PN-EN 13036-4""]","[""wykonać próbę wstępną"", ""rozcieńczyć według zabrudzenia""]",
50,"[""zmywalne powierzchnie"", ""przedmioty"", ""urządzenia"", ""maszyny"", ""podłogi"", ""ściany"", ""sufity"", ""blaty"", ""kontakt z żywnością"", ""ciągi technologiczne""]",[],"[""ręczne""]",[],"[""spłukać wodą pitną""]",
51,"[""podłogi"", ""zmywalne powierzchnie"", ""ściany"", ""glazura"", ""terakota"", ""fugi"", ""piwnice"", ""komórki"", ""klatki schodowe"", ""toalety"", ""powierzchnie sanitarne""]",[],"[""ręczne""]",[],"[""zalecane dozowanie"", ""wykonać próbę wstępną""]",
52,"[""linoleum"", ""wykładziny PVC"", ""winyl"", ""kauczuk"", ""epoksyd"", ""beton"", ""kamień"", ""gres"", ""powierzchnie ponadpodłogowe""]",[],"[""ręczne"", ""mopowanie"", ""pianowe""]","[""IFRA"", ""RSPO""]",[],
53,"[""podłogi"", ""gres"", ""panele"", ""terakota"", ""płytki ceramiczne"", ""winyl"", ""marmur"", ""twarde powierzchnie"", ""powierzchnie ponadpodłogowe""]",[],"[""ręczne"", ""maszynowe"", ""systemy dozujące"", ""pianowe""]","[""IFRA"", ""RSPO""]",[],
54,"[""syfony"", ""rury"", ""odpływy"", ""kratki kanalizacyjne""]","[""powierzchnie wrażliwe na zasady"", ""aluminium""]","[""ręczne""]",[],[],
55,"[""stal nierdzewna"", ""stal kwasoodporna"", ""stal stopowa"", ""aluminium"", ""powierzchnie ponadpodłogowe"", ""windy"", ""maszyny"", ""balustrady"", ""urządzenia"", ""meble""]",[],"[""ręczne"", ""pianowe"", ""natryskowe""]","[""IFRA"", ""RSPO""]","[""wykonać próbę wstępną"", ""karta charakterystyki""]",
56,"[""lodówki"", ""witryny chłodnicze"", ""pojemniki szklane"", ""pojemniki plastikowe"", ""uszczelki"", ""powierzchnie ponadpodłogowe""]","[""powierzchnie wrażliwe na wodę"", ""powierzchnie wrażliwe na alkohol""]","[""ręczne"", ""pianowe""]","[""HACCP"", ""IFRA"", ""RSPO""]","[""wykonać próbę wstępną"", ""karta charakterystyki""]",
57,"[""podłogi"", ""odporne na wodę"", ""powierzchnie ponadpodłogowe""]","[""powierzchnie wrażliwe na wodę"", ""powierzchnie zabezpieczone polimerem""]","[""maszynowe"", ""ręczne"", ""pianowe""]","[""HACCP"", ""IFRA"", ""RSPO""]","[""wykonać próbę wstępną""]",
58,"[""gofrownice"", ""naleśnikarki"", ""tostery"", ""opiekacze"", ""urządzenia do kebabów"", ""bemary"", ""ciepłe powierzchnie""]","[""aluminium"", ""miedź"", ""mosiądz"", ""powierzchnie malowane"", ""powierzchnie lakierowane"", ""piekarniki z automatycznym myciem""]","[""ręczne"", ""natryskowe"", ""pianowe""]",[],"[""spłukać wodą pitną"", ""rękawice ochronne"", ""okulary ochronne""]",
59,[],[],"[""natryskowe""]",[],"[""unikać kontaktu z oczami""]",
60,"[""podłogi"", ""zmywalne powierzchnie"", ""powierzchnie wielkometrażowe"", ""powierzchnie błyszczące"", ""powierzchnie szkliste""]","[""powierzchnie wrażliwe na wodę"", ""powierzchnie wrażliwe na alkohol"", ""powierzchnie zabezpieczone polimerem""]","[""maszynowe"", ""ręczne""]","[""IFRA"", ""RSPO"", ""ekologiczny""]","[""unikać wody alkoholu polimeru""]",
61,"[""odporne na wodę"", ""powierzchnie obiektowe""]","[""powierzchnie wrażliwe na wodę"", ""powierzchnie zabezpieczone polimerem""]","[""ręczne"", ""maszynowe""]",[],"[""wykonać próbę wstępną""]",zasadowy
62,"[""skóra dłoni""]","[""błony śluzowe"", ""otwarte rany""]","[""ręczne"", ""wcieranie w dłonie""]","[""PN-EN 1500:2013"", ""przebadany dermatologicznie""]","[""unikać ran i śluzówek"", ""spłukać ręce"", ""karta i zasady bezpieczeństwa"", ""dezynfekcja rąk według producenta""]",
63,"[""odporne na alkalia"", ""gres"", ""granit"", ""terakota"", ""lastryko"", ""klinkier"", ""płytki ceramiczne""]","[""drewno"", ""panele"", ""aluminium"", ""powierzchnie chłonne"", ""powierzchnie malowane"", ""powierzchnie lakierowane"", ""powierzchnie wrażliwe na zasady""]","[""ręczne"", ""maszynowe"", ""ciśnieniowe""]",[],"[""rozcieńczyć według zabrudzenia"", ""wykonać próbę wstępną""]",zasadowy
64,"[""posadzki twarde"", ""gres"", ""terakota"", ""lastryko"", ""klinkier"", ""płytki"", ""płytki ceramiczne"", ""powierzchnie mineralne""]","[""powierzchnie wrażliwe na kwasy"", ""marmur"", ""trawertyn"", ""beton"", ""bazalt"", ""łupki"", ""granit""]","[""ręczne"", ""maszynowe"", ""ciśnieniowe""]",[],"[""wykonać próbę wstępną"", ""dobrać stężenie""]",kwaśny
65,"[""PVC"", ""kamień"", ""beton"", ""gres"", ""klinkier"", ""guma"", ""ksylolit""]","[""linoleum"", ""aluminium"", ""drewno"", ""parkiet"", ""panele"", ""korek""]","[""ręczne"", ""maszynowe""]",[],"[""spłukać i osuszyć""]",zasadowy
66,"[""stal nierdzewna"", ""aluminium"", ""porcelana"", ""ceramika"", ""tworzywa sztuczne""]",[],"[""myjnie samochodowe"", ""ręczne"", ""CIP"", ""natryskowe"", ""ciśnieniowe""]","[""bez fosforanów""]",[],neutralny
67,"[""piece"", ""odporne na alkalia"", ""stal nierdzewna"", ""stal stopowa""]","[""aluminium"", ""miedź"", ""mosiądz"", ""powierzchnie malowane"", ""powierzchnie lakierowane""]","[""automatyczne"", ""ręczne""]","[""HACCP""]","[""instrukcja urządzenia"", ""oczyścić uszczelki""]",silnie zasadowy
68,"[""piece"", ""stal nierdzewna"", ""stal stopowa"", ""odporne na kwasy""]","[""aluminium"", ""miedź"", ""powierzchnie malowane"", ""powierzchnie lakierowane""]","[""automatyczne"", ""ręczne"", ""ciśnieniowe"", ""natryskowe""]","[""HACCP""]","[""aplikować na ciepło""]",kwaśny
69,"[""szkło"", ""porcelana"", ""ceramika"", ""stal nierdzewna"", ""aluminium"", ""garnki"", ""talerze"", ""patelnie""]",[],"[""ręczne""]","[""RSPO"", ""HACCP""]","[""spłukać naczynia wodą pitną"", ""recykling opakowania""]",
70,"[""stal nierdzewna"", ""stal stopowa"", ""powierzchnie ponadpodłogowe""]",[],"[""automatyczne"", ""pianowe""]","[""IFRA"", ""RSPO""]","[""instrukcja urządzenia"", ""karta charakterystyki"", ""środki ochrony osobistej""]",
71,"[""skóra dłoni""]",[],"[""ręczne"", ""pianowe""]",[],[],neutralny
72,"[""skóra dłoni""]",[],"[""ręczne""]","[""HACCP"", ""przebadany dermatologicznie""]","[""użytek zewnętrzny""]",
73,"[""zmywalne powierzchnie"", ""urządzenia"", ""kontakt z żywnością"", ""bez kontaktu z żywnością"", ""przedmioty"", ""ciągi technologiczne"", ""powierzchnie pionowe""]","[""powierzchnie wrażliwe na chlor""]","[""pianowe""]",[],"[""zalecenia producenta"", ""unikać chloru""]",
74,"[""wykładziny"", ""dywany"", ""tapicerka tekstylna"", ""dywaniki"", ""tapicerka samochodowa"", ""meble tapicerowane""]","[""tapicerka skórzana""]","[""ręczne"", ""pianowe""]",[],"[""sprawdzić trwałość kolorów""]",
75,"[""tapicerka tekstylna"", ""dywany"", ""wykładziny"", ""tapicerka samochodowa"", ""meble tapicerowane""]","[""tapicerka skórzana""]","[""ręczne"", ""pranie""]",[],"[""sprawdzić trwałość kolorów""]",
76,"[""tapicerka meblowa"", ""tapicerka samochodowa"", ""tapicerka tekstylna"", ""dywany"", ""wykładziny"", ""powierzchnie materiałowe"", ""tkaniny"", ""tekstylia""]","[""tapicerka skórzana""]","[""pianowe"", ""pranie"", ""czyszczenie""]",[],"[""sprawdzić trwałość kolorów""]",
77,"[""samochody"", ""karoseria"", ""lakier"", ""woski"", ""powłoki ochronne"", ""pojazdy"", ""części samochodowe""]",[],"[""pianowe"", ""ciśnieniowe"", ""ręczne""]",[],"[""rozcieńczyć według zabrudzenia"", ""karta i zalecenia producenta""]",neutralny
78,"[""drewno"", ""laminat"", ""meble"", ""stoły"", ""wyposażenie wnętrz"", ""poręcze"", ""drewno lakierowane""]",[],"[""ręczne""]",[],"[""wykonać próbę wstępną"", ""karta charakterystyki""]",
79,"[""powierzchnie sanitarne"", ""odporne na wybielacze"", ""toalety"", ""pisuary"", ""wanny"", ""brodziki"", ""kabiny prysznicowe"", ""umywalki"", ""podłogi"", ""schody"", ""armatura""]","[""aluminium"", ""powierzchnie wrażliwe na wybielacze""]","[""ręczne""]",[],"[""unikać aluminium i wybielania"", ""wykonać próbę wstępną"", ""spłukać po 15 minutach""]",
80,"[""toalety"", ""pisuary"", ""ceramika"", ""powierzchnie sanitarne"", ""wanny"", ""brodziki""]","[""aluminium"", ""stal"", ""żeliwo"", ""powierzchnie wrażliwe na kwasy"", ""armatura łazienkowa""]","[""ręczne""]","[""IFRA"", ""RSPO""]","[""wykonać próbę wstępną"", ""spłukać czystą wodą"", ""stosowanie okresowe""]",
81,"[""samochody"", ""karoseria"", ""zewnętrzne powierzchnie pojazdów""]",[],"[""pianowe"", ""ciśnieniowe"", ""myjnie samochodowe""]",[],"[""nie dopuścić do wyschnięcia"", ""spłukać pod ciśnieniem""]",
82,"[""toalety"", ""powierzchnie sanitarne"", ""pisuary"", ""umywalki"", ""kabiny prysznicowe"", ""wanny"", ""armatura""]",[],[],"[""IFRA"", ""RSPO"", ""opakowanie do recyklingu"", ""opakowanie do ponownego napełnienia""]",[],
83,"[""samochody"", ""ciężarówki"", ""plandeki"", ""maszyny budowlane"", ""maszyny rolnicze""]",[],"[""ręczne"", ""maszynowe"", ""ciśnieniowe"", ""pianowe"", ""myjnie samochodowe""]",[],[],lekko zasadowy
84,"[""zewnętrzne powierzchnie pojazdów"", ""ciężarówki"", ""samochody"", ""karoseria"", ""plandeki"", ""lakier""]","[""rozgrzany lakier""]","[""pianowe"", ""ręczne"", ""ciśnieniowe""]",[],"[""nie dopuścić do wyschnięcia"", ""unikać rozgrzanego lakieru""]",zasadowy
85,"[""karoseria"", ""zewnętrzne powierzchnie pojazdów"", ""lakier"", ""tworzywa sztuczne"", ""winyl"", ""wewnętrzne powierzchnie pojazdów"", ""powierzchnie ponadpodłogowe""]","[""rozgrzane powierzchnie""]","[""ręczne"", ""pianowe"", ""aplikacja gąbką"", ""aplikacja rękawicą"", ""spłukiwanie""]","[""IFRA"", ""RSPO""]","[""unikać gorąca i słońca"", ""rozcieńczyć według dozowania""]",
86,"[""felgi"", ""lakier"", ""polerowane aluminium""]","[""żeliwo"", ""tarcze hamulcowe"", ""bębny"", ""zaciski""]","[""ręczne"", ""natryskowe"", ""ciśnieniowe""]",[],"[""spłukać pod ciśnieniem"", ""unikać żeliwa""]",
87,"[""opony"", ""guma"", ""tworzywa sztuczne"", ""stal""]",[],"[""natryskowe"", ""aplikator""]",[],[],
88,"[""szkło"", ""lampy"", ""karoseria"", ""lakier"", ""wszystkie powierzchnie""]",[],"[""ręczne"", ""natryskowe"", ""ciśnieniowe""]",[],"[""unikać kontaktu z oczami"", ""umyć ręce""]",
89,"[""szkło"", ""reflektory""]",[],"[""ręczne"", ""natryskowe""]",[],"[""unikać kontaktu z oczami"", ""umyć ręce""]",
90,"[""kokpit"", ""tworzywa sztuczne"", ""wnętrze samochodu""]",[],"[""pianowe"", ""ręczne""]",[],"[""unikać kontaktu z oczami"", ""umyć ręce""]",
